value,dwin,hnai
မနက်ဖြန်,5,1
မော်စကို,5,1
အတိတ်,5,1
အမျိုးအစား,5,1
အာကာသ,5,1
ကန်,4,1
ခေါင်းစဉ်,4,1
တစ်ချိန်ချိန်,4,1
တရားခွင်,4,1
နည်း,4,1
နယ်နိမိတ်,4,1
နံနက်ပိုင်း,4,1
အနောက်ပိုင်း,4,1
အရှေ့ပိုင်း,4,1
ကောင်တီ,3,1
ခရီးစဥ်,3,1
ဈေး,3,1
ရန်ပုံငွေ,3,1
ရေတပ်,3,1
လမ်းဘေး,3,1
အပူချိန်,3,1
ကျေးရွာ,2,1
ကွန်ဂရက်,2,1
ခြံဝင်း,2,1
ဆိုမာလီယာ,2,1
ညဘက်,2,1
တပ်,2,1
တိရစ္ဆာန်ရုံ,2,1
ဓာတ်ခွဲခန်း,2,1
ဖြစ်ပွားချိန်,2,1
ဘန်ကောက်,2,1
မဲလ်ဘုန်း,2,1
ရာထူး,2,1
လမ်းခရီး,2,1
ဝင်ပေါက်,2,1
သတ်မှတ်ချက်,2,1
သပိတ်,2,1
အစည်းအဝေးပွဲ,2,1
အမျိုးမျိုး,2,1
အောက်ခြေ,2,1
အော်ရီဂွန်,2,1
ကန်ဘာရာ,1,1
ကရိယာ,1,1
ကာကွယ်ရေး,1,1
ကွင်းစလန်,1,1
ဂျီနီဗာ,1,1
တရားရုံးချုပ်,1,1
ဒီဂို,1,1
နာဆာ,1,1
ပဏာမ,1,1
ဖန်သားပြင်,1,1
ဘာလင်,1,1
ဘား,1,1
ဘူတာ,1,1
ရေကန်,1,1
ရောမ,1,1
ရှေ့မှောက်,1,1
လက်ဘနွန်,1,1
သံရုံး,1,1
ဟောက်စ်,1,1
အခြား,1,1
အေအီးအက်စ်တီ,1,1
ကဇာတ်ရုံ,,1
ကတိ,,1
ကမ်းဘရီးရာ,,1
ကရကတ်,,1
ကလီစာ,,1
ကာရေဘီယံ,,1
ကားမောင်းပြိုင်ပွဲ,,1
ကိုလိုရာဒို,,1
ကူညီရာ,,1
ကော့ဒ်,,1
ကြိမ်နှုန်း,,1
ကွိုင်းလင်း,,1
ခန့်မှန်းချေ,,1
ခန္ဓာကိုယ်တွင်း,,1
ခံတပ်,,1
ချိုင့်ဝှမ်း,,1
ချီတက်ပွဲ,,1
ခြေရင်း,,1
ဂျနဲရိုး,,1
စန်တာ,,1
စာရေးနေချိန်,,1
စားချိန်,,1
စီအန်အီးဒီ,,1
ဆပ်ဖိခ်,,1
ဆာဗီးရား,,1
ဆာရာဘာရာ,,1
ဆောင်ဒီ,,1
ဆောင်ရွက်ရာ,,1
ဆွင်ဒန်,,1
တစ်ကိုယ်တော်,,1
တစ်သက်တာ,,1
တဘက်,,1
တာဗက်တာ,,1
တိန်းရှီးဖူး,,1
တိုက်ခန်း,,1
တိုင်းစ်,,1
တိုင်းယားလက်စ်,,1
တိုရန်းတိုး,,1
တောင်ကာရိုလိုင်းနား,,1
တောင်ကျချောင်း,,1
တောင်ဘက်စွန်း,,1
တောအုပ်,,1
တော်တို,,1
တံတားတိုင်,,1
တံတိုင်း,,1
ထရက်ဖို့,,1
ထရုခ်မင်နစ္စတန်,,1
ဒင်နုဘာ,,1
ဒယ်ဟီ,,1
ဒီကေချာ,,1
ဒီလေး,,1
နန်ဂန်,,1
နိုက်ကလပ်,,1
နိုဗက်ခ်,,1
နီယွန်,,1
နေတိုး,,1
နော့တင်ဟမ်,,1
နံရံ,,1
နှစ်ဖက်,,1
နှုတ်ခမ်း,,1
ပတ္တာနာ,,1
ပရင့်စက်,,1
ပါပီဂန်,,1
ပါရာလမ်ပစ်,,1
ပို့ကုန်ငွေ,,1
ပီဘာရာ,,1
ပြည်တွင်း,,1
ပြန်ကစားပွဲ,,1
ပြီးပြီးချင်း,,1
ပြောစကား,,1
ဖိုချာဘားစ်,,1
ဖြည့်ရုံ,,1
ဗာစ်ဟဲမ်,,1
ဘန်ဒက်စ်ရက်,,1
ဘန်ဒါဘက်,,1
ဘရောင်းဆန်ဒါ,,1
ဘလောခ့်,,1
ဘာသာပြန်,,1
ဘိုင်းရို့,,1
ဘီအက်စ်တီ,,1
ဘုတ်ပြား,,1
ဘူခရက်,,1
ဘဲ,,1
ဘဲလ်ဖတ်,,1
ဘဲလ်ဖာ့စ်,,1
မက်စတွတ်,,1
မက်ထရိုဒုန်း,,1
မက်ဒရစ်,,1
မန်ဒိုရာ,,1
မာစင်စစ်,,1
မာပါ,,1
မီရဇ,,1
မော့ဂါဒိရှူး,,1
မော်တော်ဆိုင်ကယ်,,1
မြှင့်တင်ရေး,,1
မွိုင်းစ်,,1
မှတ်တမ်းလွှာ,,1
မှတ်တိုင်,,1
ယော့ရကာတာ,,1
ရက်နေ့,,1
ရထားတွဲ,,1
ရပ်စီကိုးစ်,,1
ရဝေး,,1
ရိပ်သာ,,1
ရုံးတက်ရုံးဆင်းချိန်,,1
လက်ကြား,,1
လမုတော,,1
လယ်ကောင်,,1
လိမ်း,,1
လူကာစ,,1
လူးဝက်စ်,,1
ဝယ်လို,,1
ဝိညာဉ်,,1
ဝေမျှရေး,,1
ဝေးနီး,,1
သချိုင်းဂူ,,1
သင်ကြားရေး,,1
သင်္ကေတ,,1
သေဆုံးခဲ့ချိန်,,1
သေဆုံးချိန်,,1
သောင်,,1
သောမက်စ်,,1
ဟန်ဂါရရင်း,,1
ဟာရဲ,,1
အကာ,,1
အကူ,,1
အခက်အခဲ,,1
အချိန်တိုင်း,,1
အချေအတင်ပြောပွဲ,,1
အခြအနေ,,1
အခြားနေရာ,,1
အဆောက်အဉီး,,1
အဓိကရုဏ်း,,1
အန္တာတိက,,1
အန်ဇက်အက်စ်တီ,,1
အန်တရင်း,,1
အယ်လ်-ရှိခ်,,1
အယ်အေ-ရုပ်သံ,,1
အရိုးစု,,1
အရုဏ်တက်ချိန်,,1
အရှေ့မြောက်ပိုင်း,,1
အလှူရှင်,,1
အသင်းတော်ပွဲ,,1
အာဇာနည်,,1
အာရုံ,,1
အားစားကွင်း,,1
အိပ်ဆောင်ခန်းမ,,1
အိုင်တီဗွီ,,1
အိုဘယ်လ်,,1
အီးယူရိုဗစ်ရှင်,,1
အေ,,1
အေကေပီ,,1
အေအိုင်အက်စ်,,1
အော်စတင်,,1
ဦးဏှောက်,,1
သူ,25,
အရာ,10,
အလုပ်,14,
အပြင်ဘက်,27,
ရလဒ်,10,
ကနေဒါ,5,
အကြောင်း,6,
အသစ်,25,
သန်း,3,
ယနေ့,33,
စကာ,,
အပိုင်း,41,
အဖြစ်,13,
ထောင်,9,
ပါတီ,8,
ပုံ,5,
အရာရှိ,4,
ပြဿနာ,3,
ကျေးဇူး,,
လမ်းကြောင်း,11,
ဒီဇင်ဘာ,10,
ယာဉ်,6,
တောင်,3,
အမျိုးသမီး,3,
စုစုပေါင်း,1,
လူပေါင်း,1,
ခရီးသည်,,
အကြာ,38,
အမေရိကန်,17,
မီဒီယာ,11,
ဂျာနယ်,10,
အတောအတွင်း,8,
တပ်ဖွဲ့,7,
ဗီဒီယို,5,
အာရှ,4,
စွဲချက်,3,
တန်ဖိုး,3,
ဝန်ထမ်း,3,
ပစ္စည်း,2,
အကြောင်းရင်း,2,
ဥယျာဉ်,2,
စျေးနှုန်း,1,
ဘူတာရုံ,1,
သက်တမ်း,1,
အိုဘားမား,,
အနာဂတ်,26,
ပတ်ဝန်းကျင်,17,
အပတ်,16,
ဘက်,11,
ရေ,8,
စရိတ်,7,
အကြိမ်,7,
ဘဏ်,6,
လက်နက်,6,
ယူကေ,5,
ခန်း,4,
အကျော့,4,
ကျောင်းသား,3,
အခု,3,
အမြင်,3,
ကလေး,2,
ငွေ,2,
ပမာဏ,2,
ရဲ,2,
အမျိုးသား,2,
အိမ်ဖြူတော်,2,
ကလပ်,1,
တိပ်ခွေ,1,
ဒေါ်လာ,1,
စာရင်းဝင်,,
တစ်ချိန်,,
မိန်းကလေး,,
ယာဉ်မောင်း,,
ဝန်ကြီးချုပ်,,
အာဖဂန်နစ်စတန်,,
ဦးရေ,,
ကီလိုမီတာ,16,
ခရိုင်,16,
တရား,16,
အများအပြား,16,
စာမျက်နှာ,12,
ကြော်ငြာ,10,
ဘဝ,10,
ဗွီဒီယို,9,
အစပိုင်း,9,
စာတမ်း,7,
ထိုင်ဝမ်,7,
နယူးယောက်,7,
ရုပ်ရှင်,7,
စျေးကွက်,6,
ဈေးနှုန်း,6,
တစ်ဝှမ်း,6,
တာဝန်,6,
နည်းလမ်း,6,
မဂ္ဂဇင်း,6,
မြောက်ပိုင်း,6,
ခြေထောက်,5,
မူကြမ်း,5,
လုံး,5,
အတန်း,5,
အရှေ့,5,
အသုံးစရိတ်,5,
ကစားကွင်း,4,
နေရာတိုင်း,4,
ပြည်ပ,4,
မျိုး,4,
လိပ်စာ,4,
ဝီကီပီးဒီးယား,4,
သုတေသန,4,
အကျိုး,4,
အထောက်အထား,4,
ကုလားထိုင်,3,
စစ်,3,
စု,3,
ဓာတ်ငွေ့,3,
နာရီဝက်,3,
ဝန်ကြီး,3,
အဓိက,3,
ဧပြီ,3,
တီဗွီ,2,
ဘလော့ဂ်,2,
မူလ,2,
ရန်ပွဲ,2,
လက္ခဏာ,2,
ဝီကီနယူးစ်,2,
အဝေး,2,
အာဂျင်တီးနား,2,
အာဏာပိုင်,2,
အေအမ်,2,
ခန့်မှန်းချက်,1,
ဒိုင်အောက်ဆိုဒ်,1,
ပစ်မှတ်,1,
ပညာရှင်,1,
ဘီဘီစီ,1,
ရာဇဝတ်မှု,1,
လစာ,1,
သဘောတရား,1,
အကြောင်းကြားစာ,1,
အခွင့်အလမ်း,1,
ကိုမာ,,
ကော်နက်တီကတ်,,
ကြေးနန်း,,
ကွန်ကရစ်,,
ခရုစ်,,
စိတ်,,
ဆဘတ်,,
တစ်ဆိုင်,,
တရားသူကြီး,,
တော,,
တွေ့ဆုံပွဲ,,
ဒဗလျူအမ်အေကျူ,,
ဒုက္ခသည်,,
ပိတ်ဆို့,,
ပြခန်း,,
ဘလောင်းတ်,,
ဘီလျံနာ,,
မာတာတာ,,
မာရသွန်,,
မဲဆန္ဒနယ်မြေ,,
ယာဉ်တန်း,,
လက်ဆာ,,
ဝှိုက်,,
သတင်းပေးပို့ချက်,,
သိန်း,,
ဟိသဂိုး,,
အကြွင်းအကျန်,,
အစ္စတန်ဘူ,,
အဖော်,,
အမေ,,
အမြတ်အစွန်း,,
အေအိုင်အက်ဖ်,,
အဲနေရာ,,
၎င်းနေရာ,,
ဝက်ဘ်ဆိုက်,14,
ခရီးစဉ်,10,
ပြင်ပ,10,
အုပ်စု,10,
စာအုပ်,9,
ဖလား,8,
ဆီးရီးယား,7,
အနောက်ဘက်,7,
အပြင်,7,
ကိစ္စရပ်,6,
ငလျင်,6,
စစ်တမ်း,6,
ဇင်ဘာဘွေ,6,
ဇန်နဝါရီ,6,
နေ့လည်,6,
ရက်သတ္တပတ်,6,
ကင်းဒမ်း,5,
ငွေကြေး,5,
စာချုပ်,5,
စာရွက်စာတမ်း,5,
ဒီစီ,5,
နည်းပညာ,5,
နယ်,5,
မဲ,5,
လှေ,5,
အခင်း,5,
အရင်းအမြစ်,5,
စက္ကန့်,4,
စတင်ချိန်,4,
ဆစ်ဒနီ,4,
ဆု,4,
နှစ်ပေါင်း,4,
ပီအမ်,4,
မနက်ခင်း,4,
မေ,4,
မြောက်ဘက်,4,
ရိုမေးနီးယား,4,
လက်တွေ့,4,
လမ်းမ,4,
လုပ်ရပ်,4,
ဝါရှင်တန်,4,
သင်း,4,
သမ္မတ,4,
အကူအညီ,4,
အကျော်,4,
အချီ,4,
အစ္စရေး,4,
အီးမေးလ်,4,
ကျွန်းစု,3,
ကွန်ပျူတာ,3,
ဆေးဝါး,3,
ဇာတ်ရုံ,3,
ညနေခင်း,3,
တူရကီ,3,
နံပါတ်,3,
ပင်လယ်အော်,3,
ပရိုဂရမ်,3,
ပါလက်စတိုင်း,3,
ပွဲဦးထွက်,3,
ဖုန်း,3,
ဗစ်တိုးရီးယား,3,
ဘီ,3,
မစ်ရှင်,3,
မျက်နှာပြင်,3,
မြင်ကွင်း,3,
မြေ,3,
ရမှတ်,3,
ရာစု,3,
လက်ကောက်ဝတ်,3,
လမ်းစဉ်,3,
လူထု,3,
လောက,3,
ဝက်ဆိုက်,3,
သင်ရိုးညွှန်းတမ်း,3,
သား,3,
အက်ဥပဒေ,3,
အကျိုးဆက်,3,
အခြမ်း,3,
အရှေ့ဘက်,3,
အိုင်ယာလန်,3,
ဥပဒေကြမ်း,3,
ကိရိယာ,2,
ကော်ပိုရေးရှင်း,2,
ကျူးဘား,2,
ကွန်ယက်,2,
ခန္ဓာကိုယ်,2,
ချီကာဂို,2,
ခြံ,2,
စကား,2,
စင်္ကာပူ,2,
စစ်သား,2,
စီရင်စု,2,
ဆန်ဖရန်စစ္စကို,2,
တည်နေရာ,2,
တန်း,2,
တပ်စခန်း,2,
တိုင်းမ်,2,
တိုရွန်တို,2,
နယ်စပ်,2,
နိုင်ငံသား,2,
နေချိန်,2,
ပီ.အမ်,2,
ပေါင်,2,
ပြစ်ဒဏ်,2,
ဖိလစ်ပိုင်,2,
ဘတ်ဂျက်,2,
ဘာရိန်း,2,
ဘာသာ,2,
မူးယစ်ဆေးဝါး,2,
မေးမြန်းချိန်,2,
မျက်နှာ,2,
မှတ်ချက်,2,
ရထား,2,
ရေနံ,2,
လက်မှတ်,2,
ဝေး,2,
သစ်ပင်,2,
သတ္တဝါ,2,
သီရိလင်္ကာ,2,
ဟောင်ကောင်,2,
အကြံ,2,
အင်ဂျင်,2,
အင်ဒိုနီးရှား,2,
အများပြည်သူ,2,
အမှတ်အသား,2,
အမှုကိစ္စ,2,
အေဂျင်စီ,2,
ကဘူး,1,
ကဘူးလ်,1,
ကိုယ်စားလှယ်လောင်း,1,
ကုန်,1,
ကုန်လှောင်ရုံ,1,
ကျွန်းဆွယ်,1,
ခေါင်း,1,
ခေါင်းဆောင်,1,
ဂိတ်,1,
ဂူ,1,
ဂူးဂဲလ်,1,
ဂေဟာ,1,
ဂြိုဟ်တု,1,
ဃ,1,
စင်တီမီတာ,1,
စတာလင်ပေါင်,1,
စမစ်,1,
စမ်းသပ်ခန်း,1,
စီဒီတီ,1,
ဆက်သွယ်ရေး,1,
ဆရာဝန်,1,
ဆိုင်းဘုတ်,1,
ဆူဗား,1,
ဆေးရုံကြီး,1,
ဋ္ဌာန,1,
တကယ်တမ်း,1,
တင်းမာနေချိန်,1,
တစ်ဖက်,1,
တည်ငြိမ်ရေး,1,
တပ်စု,1,
တသက်တာ,1,
တောင်ထိပ်,1,
ထုတ်ကုန်,1,
ဒိန်းမတ်,1,
ဒီ,1,
ဓားပြ,1,
နည်းစနစ်,1,
နယ်နမိတ်,1,
နား,1,
နိုင်ငံရပ်ခြား,1,
နောက်ဆက်တွဲ,1,
ပိုင်ရှင်,1,
ပေါ်,1,
ပြင်ဆင်နေချိန်,1,
ပြေစာ,1,
ပြောကြားချက်,1,
ဖင်လန်,1,
ဖောက်သည်,1,
ဖွဲ့စည်းပုံ,1,
ဗာဂျီးနီးယား,1,
ဘက်ခြမ်း,1,
ဘက်စ်ကား,1,
ဘရစ်တွန်,1,
ဘုရှ်,1,
ဘောက်စ်,1,
မိန်းမ,1,
မိဘ,1,
မီးတောက်,1,
မဲပုံး,1,
မွန်းတည့်,1,
မွေးနေ့,1,
ယောက်ျားလေး,1,
ရပ်ဝန်း,1,
ရဟူး,1,
ရုပ်ထု,1,
ရုံးခန်း,1,
ရေဒီယို,1,
ရေပြင်,1,
ရောက်ရှိလာချိန်,1,
လုပ်ကွက်,1,
လုပ်ဆောင်ရာ,1,
လုပ်ထုံးလုပ်နည်း,1,
လေယာဥ်,1,
လေလံပွဲ,1,
လှောင်အိမ်,1,
ဝီကီလိစ်,1,
ဝေဖန်ချက်,1,
သက်ဆိုင်ရာ,1,
သီတင်း,1,
ဟေတီ,1,
အက်ဖ်အက်ဖ်အေ,1,
အကြောင်းအရင်း,1,
အခိုက်အတန့်,1,
အင်အား,1,
အစွန်း,1,
အဆင့်အတန်း,1,
အဓိပ္ပာယ်,1,
အနက်,1,
အနိုင်,1,
အပေါက်,1,
အပျက်အစီး,1,
အပြောင်းအလဲ,1,
အပြေး,1,
အမည်,1,
အများဆုံး,1,
အများရှေ့,1,
အယူခံ,1,
အယူအဆ,1,
အရာဝတ္တု,1,
အရှိန်,1,
အလယ်ဗဟို,1,
အဝတ်အစား,1,
အသိုင်းအဝိုင်း,1,
အဟောင်း,1,
အိမ်ကွင်း,1,
အိုင်အမ်ဒီ,1,
အီလီနွိုက်,1,
အီးအီးအေ,1,
အေသင်,1,
ဥပမာ,1,
CAW,,
TMZ.com,,
cbs2chicago.com,,
ကက်ထရီနာ,,
ကင်းစဝေး,,
ကတိကဝတ်,,
ကန်ဒါဟာ,,
ကမ္ဘာကြီး,,
ကလက်စစ်,,
ကလေးပေါင်း,,
ကာတန်,,
ကာဒစ်ဖ်,,
ကားဒစ်,,
ကိုယ်ဝန်ဆောင်ချိန်,,
ကိုလီဆန်,,
ကီဘူး,,
ကီး,,
ကုန်းမြင့်,,
ကူးစက်တာ,,
ကူးသန်းရောင်းဝယ်ရေး,,
ကေကာ်နက်တီကတ်,,
ကေဘယ်ကြိုး,,
ကေအက်စ်အေအိပ်စ်,,
ကောင်စီဝင်လောင်း,,
ကောင်ရေ,,
ကောင်းကင်ကြီး,,
ကောလာဟလ,,
ကော်ကာ,,
ကော်နယ်,,
ကော်လ်လိုင်ရီ,,
ကျန်ဒေသ,,
ကျန်းမာရေးအခြေအနေ,,
ကျိုတို,,
ကြည့်ရှုခွင့်,,
ကွင်းပြင်,,
ကွန်းပတ်,,
ကွီလီရယ်လ်,,
ခဏအတွင်း,,
ခရာဖို့ဒ်,,
ခုချိန်,,
ခုံသမာတိအဖွဲ့,,
ခေါင်းမိုး,,
ခံနိုင်ရည်,,
ချဒ်,,
ချန်ဘရီနာ,,
ချီဂမ်ဘူရာ,,
ချီတက်ဆန္ဒပြပွဲ,,
ချဲလ်ဆီး,,
ခြေလှမ်း,,
ဂဏန်း,,
ဂဒ်ဖ်,,
ဂရမ့်,,
ဂလမ်း,,
ဂိတ်ဝ,,
ဂိမ်း,,
ဂိုဒေါင်,,
ဂိုရ,,
ဂိုးနယ်နမိတ်,,
ဂုရု,,
ဂေါက်,,
ဂေါ့,,
ဂေါ်ဒါ,,
ဂျက်စ်,,
ဂျဇီရာ,,
ဂျာနယ်လစ်,,
ဂျေပီအယ်လ်,,
စ,,
စက်ဘီး,,
စစ်စခန်း,,
စစ်တိုးလိ,,
စစ်နည်းဗျူဟာ,,
စည်းချက်,,
စည်းဝိုင်း,,
စတန်နီ,,
စတန်းဖို့စ်,,
စတဲ,,
စန်နာ,,
စာတမ်းငယ်,,
စာတိုက်,,
စိတ်ထား,,
စိတ်ဖိအား,,
စိတ်ဝိညာဥ်,,
စိန့်ကတ်သရင်း,,
စွမ်းအား,,
စွယ်စုံကျမ်း,,
ဆက်ဆံရေး,,
ဆင်ဆာ,,
ဆစ်,,
ဆန့်ကျင်ရေး,,
ဆန္ဒနယ်,,
ဆယ်ကျော်သက်,,
ဆိုင်မွန်,,
ဆိုလိုရင်း,,
ဆိုလိုသည်,,
ဆီး,,
ဆီးနှင်း,,
ဆူဘာ,,
ဆူးလ်,,
ဆဲဗင်းအက်စ်,,
ဆွန်ချီ,,
ဆွန်း,,
ဇနီး,,
ဇာစ်မြစ်,,
ဇာတ်ညွှန်းရေးဆရာ,,
ဇူလီယာ,,
ညဦး,,
ညာဖက်,,
တက်မ,,
တင်ပြပွဲ,,
တစ်-နေ့,,
တစ်ကိုယ်ရည်,,
တစ်ခုခု,,
တစ်နေ့နေ့,,
တည့်တည့်,,
တည်ဆောက်နေချိန်,,
တည်ရာ,,
တပ်မတော်,,
တဖက်,,
တရားလို,,
တရားလွှတ်တော်ချုပ်,,
