"value","value_noun","value_verb","count"
"၌","ကျေးရွာ","နေထိုင်",1
"၌","ကျောင်း","ကျောင်းပိတ်",1
"၌","ကျောင်း","စတင်",1
"၌","ကျောင်း","တွေ့",1
"၌","ကျောင်း","ပါဝင်",1
"၌","ကျောင်း","ဖြစ်",1
"၌","ကျောင်း","လေ့လာ",1
"၌","ကရကတ်","ပြန်အပ်",1
"၌","ကရိယာ","တွေ့",1
"၌","ကြွက်","အချက်ပြ",1
"၌","ကြား","ထုတ်ဖော်",1
"၌","ကြား","ရရှိ",1
"၌","ကြိုးပမ်းရာ","သေဆုံး",1
"၌","ကလီစာ","မျိုးပွား",1
"၌","ကွင်း","ကစား",1
"၌","ကွင်း","တင်",1
"၌","ကွင်း","ဖယ်ရှား",1
"၌","ကွင်း","ဖြစ်",1
"၌","ကွင်း","ဖော်",1
"၌","ကွင်း","ယှဥ်ပြိုင်",1
"၌","ကွင်း","ရရှိ",1
"၌","ကွင်း","ရှုံးနိမ့်",1
"၌","ကွင်း","အနိုင်ရ",1
"၌","ကွင်း","ဩဘာပေး",1
"၌","ကွင်း",NA,1
"၌","ကွင်းစလန်","ဆန့်ကျင်",1
"၌","ကွန်ဂရက်","ပိုမို",1
"၌","ကွိင်းစ်လန်","သိသာ",1
"၌","ကွိုင်းလင်း","ဖြစ်",1
"၌","ကာရေဘီယံ","ပြန်ရောက်",1
"၌","ကာလ","ကျဆင်း",1
"၌","ကာလ","ကျူးလွန်",1
"၌","ကာလ","ဖြစ်",1
"၌","ကာလ","ဖြစ်ပွား",1
"၌","ကာလ","မျှော်လင့်",1
"၌","ကာလ","လုယက်",1
"၌","ကာလိုင်းလ်","မွေးဖွား",1
"၌","ကာလီဆဲ","လက်လျော့",1
"၌","ကိစ္စ","ရှိ",1
"၌","ကိုယ်စားလှယ်","မူမမှန်",1
"၌","ကိုယ်စားလှယ်","ယူ",1
"၌","ကိုလံဘီယာ","မှီတင်းနေထိုင်",1
"၌","ကိုလိုရာဒို","အုပ်ချုပ်",1
"၌","ကုန်ကျငွေ","ကူညီ",1
"၌","ကုမ္ပဏီ","ထိတွေ့",1
"၌","ကုမ္ပဏီ","အောင်မြင်",1
"၌","ကူညီရာ","ပါဝင်",1
"၌","ကောင်းကင်","ပျံသန်းသွား",1
"၌","ကောင်းကင်","မှတ်တမ်းတင်",1
"၌","ကောင်စီ","ရှိ",1
"၌","ကော့ဒ်","ကျော်",1
"၌","ကောလိပ်",NA,1
"၌","ကော်မတီ","ပါဝင်",1
"၌","ကော်မတီ","လုပ်ဆောင်",1
"၌","ခံတပ်","မှီခို",1
"၌","ခန္ဓာကိုယ်တွင်း","ပါ",1
"၌","ခန်းမ","တိုး",1
"၌","ခန်းမ","ပစ်",1
"၌","ခန့်မှန်းချေ","ပြောကြား",1
"၌","ချန်ပီယံရှစ်","ပါဝင်",1
"၌","ချန်ပီယံရှစ်","ဖော်",1
"၌","ချိုင့်ဝှမ်း","တွေ့",1
"၌","ချီတက်ပွဲ","လိုက်",1
"၌","ခရီးစဥ်","သယ်",1
"၌","ခြေရင်း","တည်",1
"၌","ခွင့်","သဘောတူ",1
"၌","ခုနစ်","စတင်",1
"၌","ခုနစ်",NA,1
"၌","ခုနှစ်","ခံစား",1
"၌","ခုနှစ်","ချီးမြှင့်အပ်နှင်း",1
"၌","ခုနှစ်","စောဒကတက်",1
"၌","ခုနှစ်","တွေ့ဆုံ",1
"၌","ခုနှစ်","ထည့်",1
"၌","ခုနှစ်","ထုတ်လုပ်",1
"၌","ခုနှစ်","နေထိုင်",1
"၌","ခုနှစ်","ပစ်လွှတ်",1
"၌","ခုနှစ်","ပြုပြင်",1
"၌","ခုနှစ်","ပြုလုပ်",1
"၌","ခုနှစ်","ပိတ်ပင်",1
"၌","ခုနှစ်","ပို",1
"၌","ခုနှစ်","မွေးဖွား",1
"၌","ခုနှစ်","ယိုဖိတ်",1
"၌","ခုနှစ်","ရေး",1
"၌","ခုနှစ်","လေ့ကျင့်",1
"၌","ခေါင်းစဉ်","အသုံးပြု",1
"၌","ခေါင်စာရင်း","ပိုမို",1
"၌","ဂဏန်း","ဖြစ်",1
"၌","ဂျနဲရိုး","တည်ရှိ",1
"၌","ဂျပန်","ထိုးသတ်",1
"၌","ဂျပန်",NA,1
"၌","ဂျာနယ်","ပါဝင်",1
"၌","ဂျာနယ်","ဖြန့်ချီ",1
"၌","ဂျာမနီ","ဆောင်ရွက်",1
"၌","ဂျီနီဗာ","ကြား",1
"၌","ဂျေရုဆလင်","သိ",1
"၌","ဂါဇာ","ဆန့်ကျင်",1
"၌","စကော့တလန်","တူညီ",1
"၌","စကော့တလန်","ပျော်ရွှင်",1
"၌","စက်ရုံ","တက်ကြွ",1
"၌","စက်ရုံ","ရှိ",1
"၌","စက်ရုံ","လောင်",1
"၌","စခန်း","ကျယ်လောင်",1
"၌","စခန်း","ခေါ်",1
"၌","စခန်း","ပျံသန်း",1
"၌","စခန်း","ပေါက်ကွဲ",1
"၌","စခန်း","အနည်းငယ်",1
"၌","စင်တာ","ကြော်ငြာ",1
"၌","စင်တာ","စုဝေး",1
"၌","စင်တာ","ဖမ်းချုပ်",1
"၌","စစ်မြေပြင်","လုပ်ဆောင်",1
"၌","စံတော်ချိန်","စတင်",1
"၌","စံတော်ချိန်","ဖြစ်",1
"၌","စံတော်ချိန်","ဖြစ်ပွား",1
"၌","စံတော်ချိန်",NA,1
"၌","စနစ်","ကန့်ကွက်",1
"၌","စပိန်","ဖော်ပြ",1
"၌","စွမ်းရည်","ဖြစ်",1
"၌","စာ","ဖော်ပြ",1
"၌","စာ","ယှဉ်",1
"၌","စာ","ရှိ",1
"၌","စာ","လက်ခံ",1
"၌","စာ","သေကြောင်းကြံ",1
"၌","စာရင်း","သရေကျ",1
"၌","စာရေးနေချိန်","လေးစား",1
"၌","စိုက်ပျိုးရေး","ရင်းနှီးမြှုပ်နှံ",1
"၌","စီ","ဖြစ်",1
"၌","စီးပွားရေး","ရှိ",1
"၌","စီမံကိန်း","ကျ",1
"၌","စီမံကိန်း","ကြိုးကိုင်ချယ်လှယ်",1
"၌","စုံတွဲ","ရှိ",1
"၌","ဆန္ဒ","သာယာ",1
"၌","ဆယ်စုနှစ်","သာလွန်",1
"၌","ဆာဗီးရား","သက်ဆိုင်",1
"၌","ဆာရာဘာရာ","ဝန်ဆောင်",1
"၌","ဆာရာဘာရာ",NA,1
"၌","ဆိုင်","ဖြစ်ပွား",1
"၌","ဆိုင်ရာ","ထုတ်ဖော်",1
"၌","ဆိုမာလီယာ","မွေးဖွား",1
"၌","ဆေးခန်း","ဖြစ်",1
"၌","ဆေးရုံ","ကွယ်လွန်",1
"၌","ဆေးရုံ","ကာကွယ်",1
"၌","ဆေးရုံ","ကုသ",1
"၌","ဆေးရုံ","စာရင်းသွင်း",1
"၌","ဆေးရုံ","ထိခိုက်",1
"၌","ဆေးရုံ","ဖြစ်",1
"၌","ဆေးရုံ","လေ့လာ",1
"၌","ဆေးရုံ","အသက်ရှင်",1
"၌","ဆေးရုံ",NA,1
"၌","ဆောင်ဒီ","တင်",1
"၌","ဆောင်ရွက်ရာ","ပိုမို",1
"၌","ဇုန်","ထုတ်လွင့်",1
"၌","ဈေး","စစ်ဆေး",1
"၌","ဈေးကွက်","ခိုး",1
"၌","ည","ကယ်ဆယ်",1
"၌","ည","လမ်းလျှောက်",1
"၌","ည",NA,1
"၌","ညနေ",NA,1
"၌","ညနေပိုင်း","နီးကပ်",1
"၌","ညီလာခံ","ဆန့်ကျင်",1
"၌","ညီလာခံ","ညှိနှိုင်း",1
"၌","ညီလာခံ","ပြောင်းလဲ",1
"၌","ညီလာခံ","ရှာဖွေ",1
"၌","ညီလာခံ","လုံခြုံ",1
"၌","ညီလာခံ","အသက်ဝင်",1
"၌","ဌာန","ဆုံးဖြတ်",1
"၌","ဌာန","ထုတ်ပြန်",1
"၌","ဌာန","လုပ်",1
"၌","ဌာန","သွင်း",1
"၌","ဌာနချုပ်","တိုးမြင့်",1
"၌","တက္ကသိုလ်","ကျော်စော",1
"၌","တက္ကသိုလ်","ခွဲခြား",1
"၌","တက္ကသိုလ်","ဂရုမပြုမိ",1
"၌","တက္ကသိုလ်","တည်ထောင်",1
"၌","တက္ကသိုလ်","ဖြစ်ပွား",1
"၌","တစ်စိတ်တစ်ပိုင်း",NA,1
"၌","တစ်လျှောက်","အဆိပ်ရှိ",1
"၌","တစ်ဝန်း","များ",1
"၌","တစ်သက်တာ","ပြုလုပ်",1
"၌","တံတားတိုင်","ထက်နိမ့်",1
"၌","တတိယပိုင်း","ကစား",1
"၌","တံတိုင်း",NA,1
"၌","တပ်","ပျော်",1
"၌","တဘက်","အဆုံးသက်",1
"၌","တရား","တက်ရောက်",1
"၌","တရားခွင်","ဆောင်ရွက်",1
"၌","တရားရုံး","ကြာ",1
"၌","တရားရုံး","ချမှတ်",1
"၌","တရားရုံး","ငြင်းခုံ",1
"၌","တရားရုံး","စစ်ဆေး",1
"၌","တရားရုံး","စွန့်ခွာ",1
"၌","တရားရုံး","တင်သွင်း",1
"၌","တရားရုံး","တရားစွဲ",1
"၌","တရားရုံး","တရားမျှတ",1
"၌","တရားရုံး","တီးခတ်",1
"၌","တရားရုံး","ထွက်",1
"၌","တရားရုံး","ဖျက်",1
"၌","တရားရုံး","ဖြစ်",1
"၌","တရားရုံး","ဖြစ်ဆဲ",1
"၌","တရားရုံး",NA,1
"၌","တရုတ်","လောင်",1
"၌","တွင်း","ထုတ်ယူ",1
"၌","တွန်းအား","လုပ်ဆောင်",1
"၌","တာဗက်တာ","ပုန်းရှောင်",1
"၌","တိန်းရှီးဖူး","ပေါက်ကွဲ",1
"၌","တိရစ္ဆာန်ရုံ",NA,1
"၌","တိုက်ခန်း","သေဆုံး",1
"၌","တိုက်ပွဲ","အငြင်းပွား",1
"၌","တိုင်းစ်",NA,1
"၌","တိုင်းပြည်","ဆွဲယူ",1
"၌","တိုင်းယားလက်စ်","သေဆုံး",1
"၌","တိုရန်းတိုး","ပျော်",1
"၌","တောင်ကျချောင်း","ဖြတ်ကူး",1
"၌","တောင်ကာရိုလိုင်းနား","မဲဆွယ်လှုပ်ရှား",1
"၌","တောင်ပိုင်း","ထုတ်ပြန်",1
"၌","တောင်ပိုင်း",NA,1
"၌","တောင်ဘက်","တည်ရှိ",1
"၌","တောင်ဘက်",NA,1
"၌","တော်တို","စား",1
"၌","ထရက်ဖို့","ကစား",1
"၌","ထရုခ်မင်နစ္စတန်","အုပ်ချုပ်",1
"၌","ထိပ်","ရှိ",1
"၌","ထိပ်ဆုံး","ရပ်တည်",1
"၌","ထိပ်ဆုံး","ရောက်",1
"၌","ဒင်နုဘာ","ပျက်",1
"၌","ဒဏ်ရာ","ခွဲခြား",1
"၌","ဒီဂို","မွေးဖွား",1
"၌","ဒုတိယပိုင်း","သွင်း",1
"၌","ဒုတိယပိုင်း",NA,1
"၌","ဒေသ","ကြာ",1
"၌","ဒေသ","စုဆောင်း",1
"၌","ဒေသ","ဖြတ်တောက်",1
"၌","ဒေသ","ရှိ",1
"၌","ဒေသ",NA,1
"၌","ဒေသတွင်း","တင်းမာ",1
"၌","ဒေသတွင်း","ဖြစ်",1
"၌","ဒေသတွင်း","လုံခြုံ",1
"၌","ဓာတ်ခွဲခန်း",NA,1
"၌","ဓာတ်ပုံ","ပါဝင်",1
"၌","နည်း","ထား",1
"၌","နံနက်","တွေ့",1
"၌","နံနက်","တိုက်ခိုက်",1
"၌","နံနက်","ဖမ်းဆီး",1
"၌","နန်ဂန်","စတင်",1
"၌","နယူးဇီလန်","ထိန်းသိမ်း",1
"၌","နယူးဇီလန်",NA,1
"၌","နယ်နိမိတ်","အဆုံးသတ်",1
"၌","နယ်ပယ်","တွေ့",1
"၌","နယ်ပယ်","ရပ်ဆိုင်း",1
"၌","နယ်ပယ်","ရှိ",1
"၌","နယ်ပယ်","လွတ်လပ်",1
"၌","နယ်မြေ","စံချိန်တင်",1
"၌","နယ်မြေ","ဖြစ်ပွား",1
"၌","နယ်မြေ","ယှဉ်ပြိုင်",1
"၌","နယ်မြေ","ရှာဖွေ",1
"၌","နံရံ","အရေးကြီး",1
"၌","နှစ်","ကျင်းပ",1
"၌","နှစ်","ထောက်ပံ့",1
"၌","နှစ်","ပြောင်းလဲ",1
"၌","နှစ်","မွေး",1
"၌","နှစ်ဖက်",NA,1
"၌","နှုတ်ခမ်း","ပေါက်ကွဲ",1
"၌","နှုန်း",NA,1
"၌","နှောင်းပိုင်း","ထင်ရှား",1
"၌","နှောင်းပိုင်း","ပို့ဆောင်",1
"၌","နာဆာ","ဖြစ်",1
"၌","နာရီ","ကစား",1
"၌","နာရီ","ကြိုးဆွဲချ",1
"၌","နာရီ","တွေ့ဆုံ",1
"၌","နာရီ","ထိန်းချုပ်",1
"၌","နာရီ","ပို့",1
"၌","နာရီ","မေးမြန်း",1
"၌","နာရီ","လောင်",1
"၌","နာရီ","ဝန်ဆောင်",1
"၌","နာရီ",NA,1
"၌","နိုက်ကလပ်","ပေါက်ကွဲ",1
"၌","နိုင်ငံ","ကစား",1
"၌","နိုင်ငံ","ကျဆင်း",1
"၌","နိုင်ငံ","ကျော်",1
"၌","နိုင်ငံ","ဆန္ဒပြ",1
"၌","နိုင်ငံ","တင်",1
"၌","နိုင်ငံ","တိုက်",1
"၌","နိုင်ငံ","တိုးတက်",1
"၌","နိုင်ငံ","ထုတ်လုပ်",1
"၌","နိုင်ငံ","ပစ်",1
"၌","နိုင်ငံ","ပံ့ပိုး",1
"၌","နိုင်ငံ","ပါဝင်",1
"၌","နိုင်ငံ","ပေါက်ကွဲ",1
"၌","နိုင်ငံ","ဖမ်းဆီး",1
"၌","နိုင်ငံ","လုပ်ဆောင်",1
"၌","နိုင်ငံ","အဆုံးသတ်",1
"၌","နိုဗက်ခ်","တင်",1
"၌","နိုဝင်ဘာ","အငြင်းပွား",1
"၌","နိုဝင်ဘာ",NA,1
"၌","နီယွန်","ရှိ",1
"၌","နေ့","ကစား",1
"၌","နေ့","ကျင်းပ",1
"၌","နေ့","စစ်ဆေး",1
"၌","နေ့","စည်းရုံး",1
"၌","နေ့","တင်ဆက်",1
"၌","နေ့","တင်ပြ",1
"၌","နေ့","တည်ရှိ",1
"၌","နေ့","တွေ့",1
"၌","နေ့","တွေ့ဆုံ",1
"၌","နေ့","တိတ်ဆိတ်ငြိမ်သက်",1
"၌","နေ့","တိုက်ခိုက်",1
"၌","နေ့","ထွက်ခွာ",1
"၌","နေ့","ထိန်းသိမ်း",1
"၌","နေ့","ထုတ်",1
"၌","နေ့","နေထိုင်",1
"၌","နေ့","ပြုလုပ်",1
"၌","နေ့","ပြောကြား",1
"၌","နေ့","ပြောင်းလဲ",1
"၌","နေ့","ပါဝင်",1
"၌","နေ့","ပိတ်",1
"၌","နေ့","ဖြေရှင်း",1
"၌","နေ့","ဗုံးခွဲ",1
"၌","နေ့","များ",1
"၌","နေ့","မောင်းနှင်",1
"၌","နေ့","ရောက်",1
"၌","နေ့","လှုပ်",1
"၌","နေ့","လုပ်",1
"၌","နေ့","လောင်",1
"၌","နေ့","သတ်",1
"၌","နေ့","သဘောတူ",1
"၌","နေ့","အယူခံဝင်",1
"၌","နေ့","အောင်မြင်",1
"၌","နေတိုး","ထင်ရှား",1
"၌","နေ့ရက်","ဖြစ်",1
"၌","နေ့ရက်","ယူ",1
"၌","နေရာ","ကစား",1
"၌","နေရာ","ကန့်ကွက်",1
"၌","နေရာ","ကျ",1
"၌","နေရာ","စံချိန်တင်",1
"၌","နေရာ","တွေ့",1
"၌","နေရာ","တိတ်ဆိတ်စွာ",1
"၌","နေရာ","တောင်းပန်",1
"၌","နေရာ","ထား",1
"၌","နေရာ","ထိခိုက်",1
"၌","နေရာ","ဖြစ်ပွား",1
"၌","နေရာ","ဖုံးလွှမ်းသွား",1
"၌","နေရာ","မြင်",1
"၌","နေရာ","ရပ်တည်",1
"၌","နေရာ","ရှာဖွေ",1
"၌","နေရာ","ရှိဆဲ",1
"၌","နေရာ","ရုံးတင်စစ်ဆေးမည်",1
"၌","နေရာ","ရောက်",1
"၌","နေရာ","လမ်းလျှောက်",1
"၌","နေရာ","လျော့ကျ",1
"၌","နေရာ","လှုပ်",1
"၌","နေရာ","သေဆုံး",1
"၌","နေရာ","အပန်းဖြေ",1
"၌","နေရာ","အသက်ရှင်",1
"၌","နေရာ","အသုံးပြု",1
"၌","နေအိမ်","တွေ့ဆုံ",1
"၌","နေအိမ်","ရှိ",1
"၌","နေအိမ်",NA,1
"၌","နောက်","ပြော",1
"၌","နောက်","ရရှိ",1
"၌","နောက်","သတ်မှတ်",1
"၌","နောက်",NA,1
"၌","နောက်ကွယ်","ရှိ",1
"၌","နောက်ဆုံး","နားလည်",1
"၌","နောက်ဆုံး","ပယ်",1
"၌","နောက်ဆုံး","ပြန်ပေးဆွဲ",1
"၌","နောက်ဆုံး","ပြောင်းသုံး",1
"၌","နောက်ဆုံး","ဖမ်းချုပ်",1
"၌","နောက်ဆုံး","ရှာဖွေ",1
"၌","နောက်ဆုံး","ရေကူး",1
"၌","နောက်ဆုံး","လည်ပတ်",1
"၌","နောက်ပိုင်း","ခံစား",1
"၌","နောက်ပိုင်း","တည်ထောင်",1
"၌","နောက်ပိုင်း","ပြန်",1
"၌","နောက်ပိုင်း","ပို",1
"၌","နောက်ပိုင်း","ပေါက်",1
"၌","နောက်ပိုင်း","ရပ်တန့်",1
"၌","နောက်ပိုင်း","ရှိ",1
"၌","နောက်ပိုင်း","ရောက်",1
"၌","နောက်ပိုင်း","အိတ်ဖွင့်",1
"၌","ပင်လယ်","ယိုဖိတ်",1
"၌","ပင်လယ်","သေဆုံး",1
"၌","ပင်လယ်ကွေ့","ပြန့်",1
"၌","ပင်လယ်ကွေ့","လုပ်ဆောင်",1
"၌","ပင်လယ်ကွေ့",NA,1
"၌","ပင်လယ်ပြင်","တိမ်းမှောက်",1
"၌","ပင်လယ်ပြင်","သေဆုံး",1
"၌","ပစ်ကင်းစ်","အဆုံးသတ်",1
"၌","ပညာရေး","ထည့်",1
"၌","ပဋိပက္ခ","ဆုံးရှုံး",1
"၌","ပဏာမ","ပြော",1
"၌","ပတ်လမ်း","မောင်း",1
"၌","ပထမပိုင်း","ဦးဆောင်",1
"၌","ပန်းခြံ","လဲ",1
"၌","ပန်းခြံ","အာရုံစိုက်",1
"၌","ပန်းခြံ",NA,1
"၌","ပျက်ကျချိန်","ရှိ",1
"၌","ပရင့်စက်",NA,1
"၌","ပရိုဂရမ်","ဖြစ်",1
"၌","ပြည်ထောင်စု","တည်ရှိ",1
"၌","ပြည်နယ်","ပစ်ခတ်",1
"၌","ပြည်နယ်","ပျက်စီး",1
"၌","ပြည်နယ်","ပျောက်ကွယ်",1
"၌","ပြည်နယ်","ပြင်းထန်",1
"၌","ပြည်နယ်","ပြန်လာ",1
"၌","ပြည်နယ်","ပါဝင်",1
"၌","ပြည်နယ်","ပေါက်ကွဲ",1
"၌","ပြည်နယ်","ဖုံး",1
"၌","ပြည်နယ်","ရှိ",1
"၌","ပြည်နယ်","ရေးဆွဲ",1
"၌","ပြည်နယ်","လုပ်",1
"၌","ပြည်နယ်","သေဆုံး",1
"၌","ပြည်နယ်","အသုံးပြု",1
"၌","ပြိုင်ပွဲ","ကျွမ်းကျင်",1
"၌","ပြိုင်ပွဲ","စတင်",1
"၌","ပြိုင်ပွဲ","ထိခိုက်",1
"၌","ပြိုင်ပွဲ","ပြိုင်",1
"၌","ပြိုင်ပွဲ","ပြီး",1
"၌","ပြိုင်ပွဲ","မှားယွင်း",1
"၌","ပြိုင်ပွဲ","ရှုံးနိမ့်",1
"၌","ပြိုင်ပွဲ","ဝင်ရောက်",1
"၌","ပြိုင်ပွဲ","သိရှိ",1
"၌","ပြိုင်ပွဲ","အနိုင်ရ",1
"၌","ပြိုင်ပွဲ","ဦးဆောင်",1
"၌","ပြီးပြီးချင်း","ဝေဖန်",1
"၌","ပြေးလမ်း",NA,1
"၌","ပွဲ","ကယ်ဆယ်",1
"၌","ပွဲ","ကြိုးပမ်း",1
"၌","ပွဲ","စိတ်ပျက်",1
"၌","ပွဲ","တက်",1
"၌","ပွဲ","တင်ဆက်",1
"၌","ပွဲ","တရားစီရင်",1
"၌","ပွဲ","တိုးတက်",1
"၌","ပွဲ","ပြောကြား",1
"၌","ပွဲ","ဖန်တီး",1
"၌","ပွဲ","လှူဒါန်း",1
"၌","ပွဲ","အပြီးသတ်",1
"၌","ပွဲ","အလွဲသုံးစားလုပ်",1
"၌","ပွဲစဉ်","လက်မှတ်ထိုး",1
"၌","ပွဲစဉ်",NA,1
"၌","ပွဲတော်","ကစား",1
"၌","ပွဲတော်","စီစဉ်",1
"၌","ပွဲတော်","ပြိုလဲ",1
"၌","ပွဲတော်","ရှင်းလင်း",1
"၌","ပါကစ္စတန်","စာနာထောက်ထား",1
"၌","ပါကစ္စတန်","တွေ့ဆုံ",1
"၌","ပါကစ္စတန်","လုပ်ဆောင်",1
"၌","ပါရာလမ်ပစ်","ပြောင်းလဲ",1
"၌","ပါလီမန်","ဆွေးနွေး",1
"၌","ပါလီမန်","ဆောင်ရွက်",1
"၌","ပါလီမန်","ပေါင်း",1
"၌","ပါလီမန်","ရနိုင်",1
"၌","ပို့ကုန်ငွေ","ရှိ",1
"၌","ပို့စ်","ပြောင်းလဲ",1
"၌","ပီဘာရာ","လမ်းချော်",1
"၌","ပီအမ်","လှုပ်",1
"၌","ပုံ","ပေါ်",1
"၌","ပုံစံ","ထိခိုက်",1
"၌","ပုံမှန်","သေဆုံးသွား",1
"၌","ပေ","ပျောက်ကွယ်",1
"၌","ဖန်သားပြင်","ကစား",1
"၌","ဖြစ်စဉ်","တူညီ",1
"၌","ဖြစ်စဉ်",NA,1
"၌","ဖြစ်ပွားချိန်","နေထိုင်ကြ",1
"၌","ဖြစ်ပွားချိန်","ရှိ",1
"၌","ဖြစ်ရပ်",NA,1
"၌","ဖြည့်ရုံ","ရော",1
"၌","ဖလိန်း","ပြန်ကြား",1
"၌","ဖိုချာဘားစ်","ရွှေ့",1
"၌","ဖိုင်နယ်","ယူ",1
"၌","ဖိုင်နယ်","လက်ခံ",1
"၌","ဖီလာဒဲဖီးယား","တိုက်ခိုက်",1
"၌","ဖောင်ဒေးရှင်း","အသုံးပြု",1
"၌","ဗျူရို",NA,1
"၌","ဗလီ","ဟောပြော",1
"၌","ဗိုလ်လုပွဲ","နိုင်",1
"၌","ဗိုလ်လုပွဲ",NA,1
"၌","ဗုံး","သေဆုံး",1
"၌","ဘဂ္ဂဒက်",NA,1
"၌","ဘန်ကောက်",NA,1
"၌","ဘန်ဒက်စ်ရက်","လွှမ်းမိုး",1
"၌","ဘန်ဒါဘက်","ခွဲစိတ်",1
"၌","ဘရာဇီး","လွန်",1
"၌","ဘရောင်းဆန်ဒါ","ရှိ",1
"၌","ဘား","ထုတ်",1
"၌","ဘာလင်","တောင်းဆို",1
"၌","ဘာသာပြန်","ရှိ",1
"၌","ဘိုင်းရို့","ထိတ်",1
"၌","ဘီစီ","စုစည်းနေထိုင်",1
"၌","ဘီအက်စ်တီ",NA,1
"၌","ဘီအက်တီ","ရရှိ",1
"၌","ဘုရားကျောင်း","အခြေပြု",1
"၌","ဘူတာ","ရေတွက်",1
"၌","ဘေး","ညှင်းပန်း",1
"၌","ဘေဂျင်း",NA,1
"၌","ဘဲ","ရှာဖွေ",1
"၌","ဘဲလ်ဖတ်","ရှင်းလင်း",1
"၌","မက်ဆီကို","သိသာထင်ရှား",1
"၌","မက်ထရိုဒုန်း","ကစား",1
"၌","မနက်","နေထိုင်",1
"၌","မနက်","ဖမ်းယူ",1
"၌","မနက်",NA,1
"၌","မနက်ပိုင်း","စီးနင်း",1
"၌","မနက်ပိုင်း","ထူးခြား",1
"၌","မနက်ပိုင်း","ပြော",1
"၌","မနက်ဖြန်",NA,1
"၌","မြှင့်တင်ရေး","ပါဝင်",1
"၌","မြို့","ကန့်ကွက်",1
"၌","မြို့","ကျင်းပ",1
"၌","မြို့","ကြိုးပေး",1
"၌","မြို့","ကွယ်လွန်",1
"၌","မြို့","စား",1
"၌","မြို့","စုရုံး",1
"၌","မြို့","ဆန့်ကျင်",1
"၌","မြို့","ဆွဲကြိုးချ",1
"၌","မြို့","ပြည့်",1
"၌","မြို့","ပြိုင်",1
"၌","မြို့","ပြော",1
"၌","မြို့","ပိတ်",1
"၌","မြို့","ဖြစ်",1
"၌","မြို့","မြင်ရ",1
"၌","မြို့","မြှုပ်နှံ",1
"၌","မြို့","ရပ်တန့်",1
"၌","မြို့","ဝင်ရောက်",1
"၌","မြို့","သေ",1
"၌","မြို့","အလုပ်လုပ်ကြ",1
"၌","မြို့တော်","ဖြစ်ပေါ်",1
"၌","မြို့တော်","ဘေးကပ်သင့်",1
"၌","မြို့တော်",NA,1
"၌","မြေပြင်",NA,1
"၌","မွန်းလွဲပိုင်း",NA,1
"၌","မွိုင်းစ်","ထား",1
