"text","tag","value","order","tar_flg","tag_noun","value_noun","order_noun","tag_verb","value_verb","order_verb"
"SNT.37376.19","adp","တွင်",27,1,"noun","ပိုင်နက်",26,NA,NA,NA
"SNT.37376.19","adp","တွင်",32,1,"noun","ပိုင်နက်",26,"verb","ဖမ်းဆီး",37
"SNT.37376.19","adp","မှာ",48,1,"noun","အလုပ်",47,"verb","ပြီးဆုံး",49
"SNT.37376.19","adp","တွင်",85,1,"noun","မေးချိန်",84,"verb","မေး",86
"SNT.37376.20","adp","တွင်",11,1,"noun","နေ့",10,"verb","ရှာဖွေ",15
"SNT.37376.20","adp","၌",17,1,"noun","နေ့",10,"verb","လုပ်",25
"SNT.37376.21","adp","မှာ",15,1,"noun","အမှတ်အသား",11,"verb","ဟုတ်",18
"SNT.37376.21","adp","တွင်",50,1,"noun","သြစတြေးလျ",46,"verb","ရှိ",54
"SNT.37376.23","adp","တွင်",20,1,"noun","နေရာ",19,"verb","ဆိုင်",24
"SNT.37376.23","adp","တွင်",50,1,"noun","နေရာ",48,NA,NA,NA
"SNT.37376.23","adp","၌",53,1,"noun","နေရာ",48,"verb","ထား",56
"SNT.78103.44","adp","မှာ",12,1,"noun","ဒေသ",11,"verb","ကာကွယ်",15
"SNT.2406.49","adp","တွင်",6,1,"noun","လ",2,"verb","ရှိ",16
"SNT.2406.49","adp","တွင်",28,1,"noun","တစ်ဝိုက်",27,"verb","ရောင်းဝယ်",32
"SNT.2406.50","adp","တွင်",18,1,"noun","ဒေသတွင်း",17,"verb","ရောင်းချ",23
"SNT.52859.52","adp","တွင်",16,1,"noun","ကွင်း",15,"verb","ဓာတ်သတ္ထုပါ",19
"SNT.52859.54","adp","တွင်",4,1,"noun","ဗုံး",1,NA,NA,NA
"SNT.52859.54","adp","တွင်",8,1,"noun","ဗုံး",1,"verb","ရှာဖွေ",9
"SNT.52859.54","adp","တွင်",18,1,"noun","ဗုံး",16,"verb","ပါဝင်",23
"SNT.52859.55","adp","တွင်",8,1,"noun","မြို့",7,"verb","ပြောကြား",9
"SNT.52859.56","adp","တွင်",6,1,"noun","မြို့",52,"verb","ထောက်လှမ်း",12
"SNT.52859.56","adp","တွင်",19,1,"noun","နေ့",18,"verb","ရှိ",24
"SNT.52859.56","adp","၌",29,1,"noun","ကွင်း",27,"verb","ဖယ်ရှား",30
"SNT.52859.57","adp","တွင်",9,1,"noun","ဝင်ပေါက်",7,"verb","ဖြစ်",12
"SNT.52859.58","adp","မှာ",14,1,"noun","အန်အက်ဖ်အယ်လ်",1,"verb","လုံခြုံ",18
"SNT.52859.58","adp","တွင်",25,1,"noun","နေရာ",23,"verb","ကာကွယ်",28
"SNT.52859.59","adp","တွင်",24,1,"noun","မာဝါကီ",23,"verb","နေထိုင်",25
"SNT.45408.61","adp","တွင်",7,1,"noun","ရက်",6,"verb","ပြင်းထန်",10
"SNT.45408.63","adp","တွင်",4,1,"noun","ဧရိယာ",2,"verb","ရှိ",8
"SNT.45408.65","adp","မှာ",6,1,"noun","ပြည်နယ်",4,"verb","ဖြစ်",13
"SNT.45408.65","adp","မှာ",25,1,"noun","ပြည်နယ်",23,"verb","ဖြစ်",32
"SNT.45408.66","adp","တွင်",3,1,"noun","မြို့",2,"verb","လှောင်",6
"SNT.45408.67","adp","တွင်",11,1,"noun","မြို့",10,"verb","စ",15
"SNT.45408.68","adp","တွင်",6,1,"noun","မြို့",4,"verb","ပိတ်",9
"SNT.45408.69","adp","တွင်",4,1,"noun","တွင်း",3,"verb","ပေါက်",8
"SNT.45408.70","adp","တွင်",3,1,"noun","မြို့",2,"verb","ရေကြီး",4
"SNT.45408.70","adp","၌",10,1,"noun","မြို့",9,"verb","ပိတ်",11
"SNT.45408.72","adp","တွင်",13,1,"noun","ပြည်နယ်",12,"verb","သေဆုံး",18
"SNT.45408.73","adp","တွင်",8,1,"noun","အောက်",7,"verb","မြှုပ်",9
"SNT.45408.74","adp","၌",3,1,"noun","မြို့",2,"verb","သေ",4
"SNT.45408.74","adp","တွင်",11,1,"noun","မြေ",8,"verb","သေ",15
"SNT.45408.74","adp","မှာ",24,1,"noun","မြေ",19,"verb","ပျောက်ဆုံး",28
"SNT.139095.75","adp","တွင်",7,1,"noun","အနီး",6,"verb","တိုက်",18
"SNT.139095.78","adp","တွင်",12,1,"noun","ဘက်",10,"verb","ဆိုင်းငံ့",17
"SNT.140966.80","adp","တွင်",28,1,"noun","အနီး",27,"verb","ဖောက်",33
"SNT.140966.81","adp","တွင်",23,1,"noun","မြို့လယ်ခေါင်",22,"verb","တည်ရှိ",24
"SNT.140966.82","adp","တွင်",13,1,"noun","ဘေး",12,"verb","ခွဲ",18
"SNT.140966.84","adp","တွင်",12,1,"noun","နယ်",11,"verb","ဖြစ်",13
"SNT.140966.84","adp","မှာ",29,1,"noun","လေ",27,"verb","လွင့်လာ",32
"SNT.140966.86","adp","မှာ",12,1,"noun","မဲလ်လစ်ခ်",5,"verb","မျှော်မှန်း",17
"SNT.140966.87","adp","တွင်",3,1,"noun","မြို့",2,"verb","သေ",5
"SNT.140966.88","adp","တွင်",4,1,"noun","ဒေသတွင်း",3,"verb","စစ်ဆင်",6
"SNT.42638.92","adp","မှာ",8,1,"noun","အိုင်ယာလန်",7,"verb","ခွဲဝေ",10
"SNT.111716.112","adp","တွင်",5,1,"noun","ပြည်နယ်",4,"verb","လာ",12
"SNT.111716.112","adp","၌",30,1,"noun","အစောပိုင်း",29,"verb","လာ",32
"SNT.111716.112","adp","မှာ",47,1,"noun","အကြွင်းအကျန်",36,"verb","စီစဉ်",49
"SNT.111716.113","adp","တွင်",16,1,"noun","ရှာနေချိန်",15,NA,NA,NA
"SNT.111716.113","adp","၌",20,1,"noun","ရှာနေချိန်",15,"verb","အမဲလိုက်",26
"SNT.111716.113","adp","တွင်",60,1,"noun","နေ့",59,"verb","ပြောဆို",62
"SNT.111716.116","adp","တွင်",16,1,"noun","အထောက်အပံ့",11,"verb","ရှိ",25
"SNT.111716.116","adp","တွင်",36,1,"noun","အကွာအဝေး",35,"verb","သဲကွဲ",38
"SNT.111716.117","adp","၌",6,1,"noun","ကာလ",5,"verb","လုယက်",7
"SNT.111716.117","adp","တွင်",17,1,"noun","လက်ကောက်ဝတ်",16,"verb","မှန်",19
"SNT.511196.120","adp","တွင်",59,1,"noun","အစောပိုင်း",58,"verb","ရောက်",63
"SNT.511196.121","adp","၌",12,1,"noun","ပြိုင်ပွဲ",11,"verb","ရရှိ",16
"SNT.511196.121","adp","တွင်",20,1,"noun","ပြိုင်ပွဲ",19,"verb","ရရှိ",31
"SNT.511196.122","adp","တွင်",3,1,"noun","ကစားပွဲ",1,"verb","ဖြစ်",14
"SNT.511196.125","adp","မှာ",7,1,"noun","နိုင်ငံ",2,"verb","ဖြစ်",15
"SNT.511196.125","adp","မှာ",21,1,"noun","နိုင်ငံ",2,"verb","သန်စွမ်း",26
"SNT.511196.126","adp","တွင်",10,1,"noun","အဖွဲ့",9,"verb","ပါဝင်",51
"SNT.55716.127","adp","တွင်",21,1,"noun","စက်တင်ဘာ",19,"verb","ပြီး",25
"SNT.55716.127","adp","တွင်",35,1,"noun","လ",33,"verb","တိုးတက်",38
"SNT.55716.128","adp","မှာ",45,1,"noun","နှုန်း",44,"verb","ဖြစ်",49
"SNT.55716.130","adp","တွင်",23,1,"noun","လ",21,"verb","မျှော်လင့်",24
"SNT.55716.132","adp","တွင်",5,1,"noun","နေ့",4,NA,NA,NA
"SNT.55716.132","adp","၌",8,1,"noun","နေ့",4,"verb","ပြောင်းလဲ",10
"SNT.57401.134","adp","၌",2,1,"noun","ဘန်ကောက်",1,NA,NA,NA
"SNT.57401.134","adp","တွင်",7,1,"noun","ဘန်ကောက်",1,"verb","ပေါက်ကွဲ",12
"SNT.57401.135","adp","မှာ",5,1,"noun","ဘန်ကောက်",1,NA,NA,NA
"SNT.57401.135","adp","တွင်",16,1,"noun","ဘန်ကောက်",1,"verb","ရှိ",21
"SNT.57401.135","adp","တွင်",27,1,"noun","နေရာ",25,"verb","ဖြစ်ပွား",31
"SNT.57401.136","adp","တွင်",10,1,"noun","အများပြည်သူ",6,"verb","ကျ",13
"SNT.57401.136","adp","၌",23,1,"noun","အကာ",22,"verb","ဖြစ်ပွား",24
"SNT.57401.137","adp","တွင်",9,1,"noun","နောက်ပိုင်း",8,NA,NA,NA
"SNT.57401.137","adp","မှာ",15,1,"noun","နောက်ပိုင်း",8,NA,NA,NA
"SNT.57401.137","adp","တွင်",17,1,"noun","နောက်ပိုင်း",8,"verb","သေဆုံး",18
"SNT.57401.138","adp","မှာ",7,1,"noun","နောက်ပိုင်း",8,NA,NA,NA
"SNT.57401.138","adp","၌",16,1,"noun","နောက်ပိုင်း",8,"verb","ရှိ",17
"SNT.57401.138","adp","တွင်",26,1,"noun","ပုံ",24,"verb","ဝှက်",27
"SNT.57401.139","adp","တွင်",12,1,"noun","နောက်ပိုင်း",11,NA,NA,NA
"SNT.57401.139","adp","၌",14,1,"noun","နောက်ပိုင်း",11,"verb","သေဆုံး",15
"SNT.57401.141","adp","၌",11,1,"noun","စခန်း",10,"verb","ပေါက်ကွဲ",12
"SNT.57401.141","adp","တွင်",14,1,"noun","စခန်း",10,"verb","ရရှိ",19
"SNT.57401.143","adp","မှာ",4,1,"noun","လက်ပစ်ဗုံး",17,"verb","ရှိ",8
"SNT.57401.143","adp","တွင်",12,1,"noun","နယ်မြေ",11,"verb","ဖြစ်ပွား",13
"SNT.57401.144","adp","တွင်",10,1,"noun","ဆင်ခြေဖုံး",9,NA,NA,NA
"SNT.57401.144","adp","တွင်",16,1,"noun","ဆင်ခြေဖုံး",9,"verb","ဖြစ်",17
"SNT.57401.145","adp","၌",15,1,"noun","ကန်",13,"verb","ပေါက်ကွဲ",16
"SNT.57401.145","adp","တွင်",26,1,"noun","စတိုးဆိုင်",25,"verb","ပေါက်ကွဲ",28
"SNT.57401.147","adp","တွင်",6,1,"noun","နေရာ",4,"verb","မသင်္ကာ",8
"SNT.57401.148","adp","၌",7,1,"noun","ည",4,NA,NA,NA
"SNT.57401.148","adp","တွင်",9,1,"noun","ည",4,"verb","ကျင်းပ",17
"SNT.57401.150","adp","တွင်",4,1,"noun","တောင်ပိုင်း",3,"verb","ရှိ",5
"SNT.57401.150","adp","မှာ",30,1,"noun","ဦးရေ",29,"verb","ရှိ",33
"SNT.48987.152","adp","တွင်",5,1,"noun","ပြည်နယ်",4,"verb","တိုက်",9
"SNT.48987.153","adp","တွင်",7,1,"noun","အချိန်",6,NA,NA,NA
"SNT.48987.153","adp","၌",14,1,"noun","အချိန်",6,"verb","ပျံသန်း",15
"SNT.114026.157","adp","တွင်",36,1,"noun","ကိုယ်စားလှယ်",33,"verb","ဖတ်",42
"SNT.114026.161","adp","မှာ",5,1,"noun","ကင်းစဝေး",4,"verb","ကြိုက်",8
"SNT.114026.162","adp","တွင်",4,1,"noun","ခွဲရေး",3,NA,NA,NA
"SNT.114026.162","adp","မှာ",6,1,"noun","ခွဲရေး",3,"verb","ခွဲခြား",13
"SNT.114026.167-1","adp","မှာ",16,1,"noun","အန်ဗာရွန်းစ်",15,"verb","နေ",20
"SNT.114026.171","adp","မှာ",48,1,"noun","ခုနှစ်",47,"verb","တည်ဆောက်",49
"SNT.114026.172","adp","မှာ",42,1,"noun","အတွင်း",41,"verb","အငြင်းပွား",44
"SNT.15789.179","adp","မှာ",23,1,"noun","အသေးဖွဲအပြစ်",20,"verb","ရေးဆွဲ",28
"SNT.15789.179","adp","မှာ",52,1,"noun","ဖော်ရမ်",49,"verb","ပြော",59
"SNT.15789.183","adp","မှာ",14,1,"noun","နေ့",13,"verb","စည်းရုံး",15
"SNT.147349.187","adp","တွင်",10,1,"noun","ဘောင်းဘီ",9,"verb","ပေါက်ကွဲ",11
"SNT.147349.187","adp","တွင်",32,1,"noun","ယူအက်",31,"verb","တိုးမြှင့်",37
"SNT.147349.188","adp","တွင်",7,1,"noun","နိုင်ငံ",6,"verb","ဖြစ်",10
"SNT.147349.188","adp","၌",26,1,"noun","လေဆိပ်",23,"verb","ပိုမို",27
"SNT.83870.193","adp","မှာ",12,1,"noun","ကြား",11,"verb","ပိုဆိုး",13
"SNT.83870.197","adp","မှာ",8,1,"noun","အတွင်း",7,"verb","ယူ",11
"SNT.83870.197","adp","တွင်",18,1,"noun","ရာသီ",17,"verb","ယူ",21
"SNT.83870.198","adp","တွင်",16,1,"noun","အဆင့်",15,"verb","ဖြစ်",21
"SNT.83870.199","adp","တွင်",39,1,"noun","သုတေသန",38,"verb","တွေ့",42
"SNT.48012.200","adp","မှာ",2,1,"noun","အာဖဂန်နစ်စတန်",1,"verb","ရှိ",6
"SNT.48012.201","adp","မှာ",8,1,"noun","ပတ်ဝန်းကျင်",7,"verb","မောင်း",10
"SNT.48012.204","adp","မှာ",18,1,"noun","ဒရိုင်ဘာ",1,"verb","ဦးတည်",26
"SNT.48012.212","adp","မှာ",25,1,"noun","အပေါက်",23,"verb","ရှိ",26
"SNT.48012.214","adp","မှာ",12,1,"noun","အခြေအနေ",11,"verb","ရောက်",13
"SNT.48012.215","adp","မှာ",13,1,"noun","ကန်ဒါဟာ",12,"verb","ကင်းလှည့်",14
"SNT.48012.215","adp","မှာ",32,1,"noun","အရှိန်",21,"verb","သေဆုံး",38
"SNT.48012.216","adp","မှာ",17,1,"noun","နှောင်းပိုင်း",16,"verb","လုပ်ဆောင်",20
"SNT.48012.216","adp","မှာ",24,1,"noun","အာဖဂန်နစ်စတန်",23,"verb","စတင်",25
"SNT.217859.218","adp","တွင်",16,1,"noun","အမျိုးအစား",11,"verb","ဦးတည်",18
"SNT.217859.221","adp","တွင်",14,1,"noun","သူ",12,"verb","သတ်မှတ်",17
"SNT.217859.224","adp","တွင်",8,1,"noun","ဝေဒနာသည်",6,"verb","တွေ့ရ",9
"SNT.217859.224","adp","တွင်",41,1,"noun","ကနဦး",36,"verb","ကောက်ချက်ချ",42
"SNT.431239.226","adp","တွင်",18,1,"noun","ညီလာခံ",17,"verb","လျာထား",26
"SNT.431239.230","adp","တွင်",16,1,"noun","ခုနှစ်",15,"verb","ရွေးချယ်",17
"SNT.431239.230","adp","တွင်",23,1,"noun","ခုနှစ်",22,"verb","ရွေးချယ်",25
"SNT.431239.232","adp","တွင်",7,1,"noun","ခုနှစ်",6,"verb","ထွက်ခွာ",10
"SNT.431239.234","adp","တွင်",3,1,"noun","ခုနှစ်",2,"verb","လျာထား",7
"SNT.431239.234","adp","တွင်",12,1,"noun","ရေးရာ",11,"verb","စွက်ဖက်",14
"SNT.431239.235","adp","တွင်",7,1,"noun","စကားပွဲ",4,"verb","ပါဝင်",9
"SNT.431239.236","adp","တွင်",5,1,"noun","ဒီဇင်ဘာ",4,"verb","အဆုံးသတ်",12
"SNT.431239.237","adp","တွင်",12,1,"noun","စနစ်",11,"verb","လှုပ်ရှားတက်ကြွ",21
"SNT.431239.238","adp","တွင်",2,1,"noun","ဆန့်ကျင်ဘက်",1,"verb","လျာထား",12
"SNT.431239.242","adp","တွင်",5,1,"noun","ခုနှစ်",4,"verb","ပါဝင်",12
"SNT.431239.242","adp","တွင်",17,1,"noun","ကယ်လီဖိုးနီးယား",16,"verb","ဖြစ်",28
"SNT.431239.243","adp","တွင်",11,1,"noun","မီဒီယာ",7,"verb","ဆန့်ကျင်",20
"SNT.431239.244","adp","တွင်",3,1,"noun","ခုနှစ်",2,"verb","ရရှိ",19
"SNT.431239.245","adp","တွင်",27,1,"noun","ရွန်မ်နေ",24,"verb","ထောက်ခံ",34
"SNT.431239.246","adp","တွင်",7,1,"noun","ပြိုင်ပွဲ",6,"verb","ထောက်ပံ့",12
"SNT.39955.247","adp","တွင်",11,1,"noun","ရွေးကောက်ပွဲ",9,"verb","ရှုံးနိမ့်",12
"SNT.39955.247","adp","တွင်",16,1,"noun","မနက်ပိုင်း",15,"verb","ဖွဲ့စည်း",28
"SNT.39955.247","adp","တွင်",30,1,"noun","မနက်ပိုင်း",15,"verb","ဆုံးရှုံး",38
"SNT.39955.248","adp","မှာ",8,1,"noun","အဆုံး",7,"verb","ပေး",10
"SNT.39955.248","adp","တွင်",34,1,"noun","ခေါင်းကြီးပိုင်း",33,"verb","ထွက်ပေါ်",38
"SNT.39955.249","adp","တွင်",14,1,"noun","နေရာ",13,"verb","အစားထိုး",15
"SNT.206230.250","adp","၌",14,1,"noun","နှစ်",13,NA,NA,NA
"SNT.206230.250","adp","တွင်",19,1,"noun","နှစ်",13,"verb","ခေါင်းချင်းဆိုင်",20
"SNT.206230.250","adp","တွင်",28,1,"noun","ကား",21,"verb","သေဆုံး",29
"SNT.206230.252","adp","တွင်",15,1,"noun","အစောပိုင်း",13,"verb","တည်ထောင်",18
"SNT.206230.253","adp","တွင်",3,1,"noun","စစ်ပွဲ",2,"verb","တိုက်ခိုက်",4
"SNT.206230.254","adp","တွင်",7,1,"noun","ပန်စီဗန်နီးယား",6,"verb","ရောင်း",8
"SNT.206230.254","adp","တွင်",11,1,"noun","ပန်စီဗန်နီးယား",6,"verb","ရ",15
"SNT.206230.256","adp","တွင်",19,1,"noun","သူ",11,"verb","ဖြစ်",36
"SNT.263509.257","adp","တွင်",4,1,"noun","ညနေခင်း",3,"verb","ပေါက်ကွဲ",11
"SNT.263509.258","adp","တွင်",38,1,"noun","အချိန်",37,"verb","ခန့်မှန်း",39
"SNT.263509.259","adp","တွင်",18,1,"noun","ည",16,"verb","ဖြစ်ပွား",19
"SNT.263509.261","adp","တွင်",8,1,"noun","ရုံ",7,"verb","ကျန်",9
"SNT.263509.261","adp","တွင်",25,1,"noun","ရုံ",22,"verb","ထုတ်လုပ်",26
"SNT.263509.262","adp","၌",4,1,"noun","နိုင်ငံ",3,"verb","ပံ့ပိုး",8
"SNT.263509.263","adp","တွင်",3,1,"noun","နေ့",2,"verb","အရောင်တင်",9
"SNT.263509.263","adp","၌",15,1,"noun","ရုံ",12,"verb","မီးလောင်တတ်",18
"SNT.263509.264","adp","တွင်",14,1,"noun","လ",13,"verb","ဖြစ်ပွား",15
"SNT.263509.266","adp","၌",4,1,"noun","လုပ်ငန်း",3,NA,NA,NA
"SNT.263509.266","adp","တွင်",7,1,"noun","လုပ်ငန်း",3,"verb","လွင့်မြော",8
"SNT.263509.268","adp","တွင်",22,1,"noun","လက်",20,"verb","ဖုံး",27
"SNT.263509.271","adp","တွင်",2,1,"noun","ရှန်ဇန်း",1,"verb","ထောက်ပံ့",5
"SNT.744655.272","adp","တွင်",31,1,"noun","မြို့တော်",30,"verb","ခံစား",32
"SNT.744655.273","adp","တွင်",6,1,"noun","ပင်လယ်",5,NA,NA,NA
"SNT.744655.273","adp","တွင်",12,1,"noun","ပင်လယ်",5,"verb","ဖြစ်ပွား",13
"SNT.744655.273","adp","တွင်",28,1,"noun","မော်စကို",27,"verb","တိုက်",33
"SNT.744655.275","adp","တွင်",2,1,"noun","မော်စကို",1,"verb","ခံစား",3
"SNT.744655.275","adp","တွင်",18,1,"noun","ခုနှစ်",17,"verb","ဖြစ်",19
"SNT.744655.276","adp","တွင်",8,1,"noun","နယ်မြေ",5,"verb","ခံစား",11
"SNT.744655.277","adp","တွင်",3,1,"noun","ကြားလွှာ",2,NA,NA,NA
"SNT.744655.277","adp","တွင်",14,1,"noun","ကြားလွှာ",2,"verb","ဖြစ်ပွား",15
"SNT.744655.278","adp","၌",7,1,"noun","နေရာ",6,NA,NA,NA
"SNT.744655.278","adp","တွင်",12,1,"noun","နေရာ",6,"verb","ထိခိုက်",14
"SNT.744655.279","adp","၌",3,1,"noun","ကျွန်း",2,NA,NA,NA
"SNT.744655.279","adp","တွင်",6,1,"noun","ကျွန်း",2,"verb","ကျ",8
"SNT.744655.280","adp","တွင်",7,1,"noun","နောက်",4,"verb","ခန့်မှန်း",8
"SNT.73662.287","adp","တွင်",15,1,"noun","နေရာ",14,"verb","လုံခြုံ",16
"SNT.73662.287","adp","တွင်",25,1,"noun","အတိုင်းအတာ",22,"verb","ရှိ",26
"SNT.73662.288","adp","တွင်",5,1,"noun","နယူးယောက်",4,"verb","အခြေစိုက်",6
"SNT.73662.289","adp","တွင်",21,1,"noun","မြို့တော်",20,"verb","လုပ်",23
"SNT.154734.290","adp","တွင်",14,1,"noun","တက္ကသိုလ်",13,"verb","ရိုက်ကူး",15
"SNT.154734.292","adp","တွင်",20,1,"noun","တက္ကသိုလ်",14,"verb","ချိတ်ပိတ်",21
"SNT.60981.298","adp","တွင်",3,1,"noun","ကိစ္စ",2,"verb","သရေဖျက်",8
"SNT.60981.298","adp","မှာ",14,1,"noun","ကိစ္စ",2,"verb","ဖြစ်",18
"SNT.181212.303","adp","မှာ",9,1,"noun","ပန်းခြံ",8,"verb","ယှဉ်ပြိုင်",11
"SNT.181212.303","adp","မှာ",16,1,"noun","ပွဲ",15,"verb","ကန်",20
"SNT.181212.303","adp","မှာ",33,1,"noun","ပွဲ",29,"verb","ရှိ",37
"SNT.181212.306","adp","မှာ",3,1,"noun","နေရာ",2,"verb","ရှိ",4
"SNT.181212.309","adp","မှာ",16,1,"noun","ဒုတိယပိုင်း",15,"verb","ပိုမို",18
"SNT.181212.310","adp","မှာ",3,1,"noun","မိနစ်",2,NA,NA,NA
"SNT.181212.310","adp","မှာ",10,1,"noun","မိနစ်",2,"verb","ရှိ",12
"SNT.181212.312","adp","မှာ",30,1,"noun","မိနစ်",29,"verb","အောင်",36
"SNT.129235.328","adp","မှာ",4,1,"noun","အတွင်း",3,"verb","များ",5
"SNT.98301.332","adp","မှာ",17,1,"noun","အားအင်",9,"verb","ရှိ",19
"SNT.187985.336","adp","မှာ",7,1,"noun","နေ့",6,"verb","လိင်တူဆက်ဆံ",19
"SNT.187985.336","adp","မှာ",30,1,"noun","ထောင်",28,"verb","ချမှတ်",34
"SNT.187985.339","adp","မှာ",2,1,"noun","ဒီဇင်ဘာ",1,"verb","ဖမ်းဆီး",20
"SNT.76292.341","adp","မှာ",6,1,"noun","အကွာအဝေး",4,"verb","လှည့်ပတ်",11
"SNT.76292.343","adp","မှာ",13,1,"noun","စင်တီမီတာ",12,"verb","ရှိ",16
"SNT.76292.348","adp","မှာ",10,1,"noun","ပတ်ဝန်းကျင်",8,"verb","ဖောင်းပွ",12
"SNT.34522.350","adp","မှာ",18,1,"noun","ကိစ္စ",17,"verb","ပါဝင်",20
"SNT.34522.352","adp","မှာ",7,1,"noun","ဆိုလိုရင်း",6,"verb","လက်ထပ်",13
"SNT.34522.356","adp","မှာ",16,1,"noun","ကမ္ဘာလုံး",13,"verb","ကျော်",20
"SNT.34522.357","adp","တွင်",23,1,"noun","အဖုံး",22,"verb","ရှင်းလင်း",24
"SNT.34522.359","adp","မှာ",8,1,"noun","ကျောင်းသား",5,"verb","ပါဝင်",31
"SNT.65284.360","adp","၌",16,1,"noun","ရုံ",15,NA,NA,NA
"SNT.65284.360","adp","တွင်",23,1,"noun","ရုံ",15,"verb","အနိုင်ယူ",30
"SNT.65284.360","adp","တွင်",48,1,"noun","ဆီးမီးဖိုင်နယ်",47,"verb","သေချာ",54
"SNT.65284.361","adp","တွင်",18,1,"noun","ပွဲ",17,"verb","ယူ",22
"SNT.187937.374","adp","မှာ",18,1,"noun","ဟောင်ကောင်",17,"verb","အဖမ်းခံ",19
"SNT.187937.375","adp","မှာ",56,1,"noun","နေရာလွတ်",55,"verb","ထား",57
"SNT.187937.377","adp","တွင်",3,1,"noun","နိုင်ငံ",2,"verb","လှုပ်ရှား",6
"SNT.187937.380","adp","တွင်",7,1,"noun","ရုပ်ထု",1,"verb","ထိန်းသိမ်း",14
"SNT.187937.380","adp","၌",16,1,"noun","ရုပ်ထု",1,"verb","ရှိ",17
"SNT.187937.381","adp","မှာ",3,1,"noun","ရက်",2,"verb","ဖမ်းဆီး",5
"SNT.187937.385","adp","တွင်",3,1,"noun","နိုင်ငံ",2,"verb","တားမြစ်ထား",4
"SNT.255683.386","adp","မှာ",5,1,"noun","ဘက်ဖို့ရှိုင်းယား",4,NA,NA,NA
"SNT.255683.386","adp","မှာ",17,1,"noun","ဘက်ဖို့ရှိုင်းယား",4,"verb","လောင်",19
"SNT.255683.386","adp","မှာ",29,1,"noun","ညနေ",28,"verb","အသတ်ခံ",33
"SNT.255683.388","adp","မှာ",10,1,"noun","မီးတောက်",8,"verb","ဖြစ်",14
"SNT.255683.390","adp","တွင်",16,1,"noun","နေရာ",15,"verb","ရှိ",17
"SNT.255683.393","adp","မှာ",7,1,"noun","မစ်ဒ်လန်းဒ်",2,"verb","ရရှိ",12
"SNT.255683.394","adp","မှာ",8,1,"noun","သန့်စင်ခန်း",6,"verb","ဖြစ်",9
"SNT.35087.395","adp","မှာ",2,1,"noun","ဇူလီယာ",1,"verb","ရှိ",17
"SNT.716308.397","adp","မှာ",15,1,"noun","ရုံ",14,"verb","ယှဉ်ပြိုင်",20
"SNT.716308.397","adp","မှာ",26,1,"noun","သတင်း",24,"verb","တွေ့",28
"SNT.716308.399","adp","မှာ",6,1,"noun","ပြိုင်ပွဲ",5,"verb","ခြားနား",13
"SNT.716308.402","adp","တွင်",14,1,"noun","အစောပိုင်း",13,"verb","ဦးဆောင်",18
"SNT.716308.403","adp","မှာ",6,1,"noun","နာရီဝက်",5,"verb","ရ",13
"SNT.716308.405","adp","တွင်",6,1,"noun","တစ်ဝက်",5,"verb","ဝင်",9
"SNT.716308.405","adp","မှာ",23,1,"noun","ပြိုင်ပွဲ",22,"verb","သွင်း",33
"SNT.716308.407","adp","တွင်",3,1,"noun","ပြိုင်ပွဲ",2,NA,NA,NA
"SNT.716308.407","adp","မှာ",6,1,"noun","ပြိုင်ပွဲ",2,"verb","ရှုံး",22
