"text"	"tag"	"value"	"order"	"tar_flg"	"tag_pair"	"value_pair"	"order_pair"
"SNT.193201.28"	"adp"	"မှာ"	20	1	"noun"	"အမှတ်"	19
"SNT.193201.28"	"adp"	"မှာ"	36	1	"noun"	"အနေအထား"	35
"SNT.193201.29"	"adp"	"မှာ"	3	1	"noun"	"အဆင့်အတန်း"	2
"SNT.193201.29"	"adp"	"မှာ"	12	1	"noun"	"နေရာ"	11
"SNT.193201.30"	"adp"	"မှာ"	12	1	"noun"	"စတုတ္ထ"	8
"SNT.193201.30"	"adp"	"မှာ"	27	1	"noun"	"နေရာ"	26
"SNT.193201.31"	"adp"	"မှာ"	16	1	"noun"	"နေရာ"	14
"SNT.193201.33"	"adp"	"မှာ"	12	1	"noun"	"ထိပ်ဆုံး"	8
"SNT.193201.33"	"adp"	"မှာ"	18	1	"noun"	"ပြိုင်ကွင်း"	16
"SNT.78103.36"	"adp"	"မှာ"	7	1	"noun"	"ရန့်ဝစ်ခ်"	6
"SNT.78103.41"	"adp"	"တွင်"	21	1	"noun"	"ပွဲ"	16
"SNT.78103.41"	"adp"	"မှာ"	26	1	"noun"	"အန်အက်စ်ဒဗလျူ"	25
"SNT.78103.42"	"adp"	"မှာ"	4	1	"noun"	"တနင်္ဂနွေ"	3
"SNT.78103.42"	"adp"	"တွင်"	13	1	"noun"	"ပြည်နယ်"	10
"SNT.78103.43"	"adp"	"တွင်"	20	1	"noun"	"တနင်္ဂနွေ"	19
"SNT.78103.44"	"adp"	"မှာ"	12	1	"noun"	"ဒေသ"	11
"SNT.78103.46"	"adp"	"မှာ"	4	1	"noun"	"ပွဲ"	3
"SNT.2406.49"	"adp"	"တွင်"	6	1	"noun"	"လ"	2
"SNT.2406.49"	"adp"	"တွင်"	28	1	"noun"	"တစ်ဝိုက်"	27
"SNT.2406.50"	"adp"	"တွင်"	18	1	"noun"	"ဒေသတွင်း"	17
"SNT.52859.52"	"adp"	"တွင်"	16	1	"noun"	"ကွင်း"	15
"SNT.52859.54"	"adp"	"တွင်"	4	1	"noun"	"ဗုံး"	1
"SNT.52859.54"	"adp"	"တွင်"	8	1	"noun"	"ဖိုးချမ်း"	7
"SNT.52859.54"	"adp"	"တွင်"	18	1	"noun"	"ဗုံး"	16
"SNT.52859.55"	"adp"	"တွင်"	8	1	"noun"	"မြို့"	7
"SNT.52859.56"	"adp"	"တွင်"	6	1	"noun"	"မြို့"	52
"SNT.52859.56"	"adp"	"တွင်"	19	1	"noun"	"နေ့"	18
"SNT.52859.56"	"adp"	"၌"	29	1	"noun"	"ကွင်း"	27
"SNT.52859.57"	"adp"	"တွင်"	9	1	"noun"	"ဝင်ပေါက်"	7
"SNT.52859.58"	"adp"	"မှာ"	14	1	"noun"	"အန်အက်ဖ်အယ်လ်"	1
"SNT.52859.58"	"adp"	"တွင်"	25	1	"noun"	"နေရာ"	23
"SNT.52859.59"	"adp"	"တွင်"	24	1	"noun"	"မာဝါကီ"	23
"SNT.45408.61"	"adp"	"တွင်"	7	1	"noun"	"ရက်"	6
"SNT.45408.63"	"adp"	"တွင်"	4	1	"noun"	"ဧရိယာ"	2
"SNT.45408.65"	"adp"	"မှာ"	6	1	"noun"	"ပြည်နယ်"	4
"SNT.45408.65"	"adp"	"မှာ"	25	1	"noun"	"ပြည်နယ်"	23
"SNT.45408.66"	"adp"	"တွင်"	3	1	"noun"	"မြို့"	2
"SNT.45408.67"	"adp"	"တွင်"	11	1	"noun"	"မြို့"	10
"SNT.45408.68"	"adp"	"တွင်"	6	1	"noun"	"မြို့"	4
"SNT.45408.69"	"adp"	"တွင်"	4	1	"noun"	"တွင်း"	3
"SNT.45408.70"	"adp"	"တွင်"	3	1	"noun"	"မြို့"	2
"SNT.45408.70"	"adp"	"၌"	10	1	"noun"	"မြို့"	9
"SNT.45408.72"	"adp"	"တွင်"	13	1	"noun"	"ပြည်နယ်"	12
"SNT.45408.73"	"adp"	"တွင်"	8	1	"noun"	"အောက်"	7
"SNT.45408.74"	"adp"	"၌"	3	1	"noun"	"မြို့"	2
"SNT.45408.74"	"adp"	"တွင်"	11	1	"noun"	"မြေ"	8
"SNT.45408.74"	"adp"	"မှာ"	24	1	"noun"	"မြေ"	19
"SNT.139095.75"	"adp"	"တွင်"	7	1	"noun"	"အနီး"	6
"SNT.139095.78"	"adp"	"တွင်"	12	1	"noun"	"ဘက်"	10
"SNT.140966.80"	"adp"	"တွင်"	28	1	"noun"	"အနီး"	27
"SNT.140966.81"	"adp"	"တွင်"	23	1	"noun"	"မြို့လယ်ခေါင်"	22
"SNT.140966.82"	"adp"	"တွင်"	13	1	"noun"	"ဘေး"	12
"SNT.140966.84"	"adp"	"တွင်"	12	1	"noun"	"နယ်"	11
"SNT.140966.84"	"adp"	"မှာ"	29	1	"noun"	"လေ"	27
"SNT.140966.85"	"adp"	"တွင်"	3	1	"noun"	"အနီး"	2
"SNT.140966.85"	"adp"	"တွင်"	23	1	"noun"	"ဝန်းကျင်"	22
"SNT.140966.86"	"adp"	"မှာ"	12	1	"noun"	"မဲလ်လစ်ခ်"	5
"SNT.140966.87"	"adp"	"တွင်"	3	1	"noun"	"မြို့"	2
"SNT.140966.88"	"adp"	"တွင်"	4	1	"noun"	"ဒေသတွင်း"	3
"SNT.42638.89"	"adp"	"မှာ"	3	1	"noun"	"အိုင်ယာလန်"	2
"SNT.42638.89"	"adp"	"မှာ"	20	1	"noun"	"အပေါ်"	19
"SNT.42638.89"	"adp"	"မှာ"	29	1	"noun"	"အိုင်ယာလန်"	28
"SNT.42638.90"	"adp"	"မှာ"	17	1	"noun"	"အပေါ်"	16
"SNT.42638.91"	"adp"	"မှာ"	29	1	"noun"	"နေ့"	28
"SNT.42638.92"	"adp"	"မှာ"	8	1	"noun"	"အိုင်ယာလန်"	7
"SNT.42638.101"	"adp"	"မှာ"	15	1	"noun"	"သင်တန်း"	14
"SNT.42638.101"	"adp"	"မှာ"	32	1	"noun"	"ဇွန်လကုန်"	31
"SNT.42638.104"	"adp"	"မှာ"	16	1	"noun"	"နေ့"	15
"SNT.42638.105"	"adp"	"မှာ"	10	1	"noun"	"အောက်တိုဘာ"	9
"SNT.42638.105"	"adp"	"မှာ"	18	1	"noun"	"အပြီး"	17
"SNT.42638.105"	"adp"	"မှာ"	33	1	"noun"	"အိုင်ယာလန်"	32
"SNT.12015.107"	"adp"	"မှာ"	52	1	"noun"	"ကစ်ပက်ထရစ်"	47
"SNT.12015.108"	"adp"	"မှာ"	34	1	"noun"	"ဖောက်သည်"	21
"SNT.12015.108"	"adp"	"မှာ"	44	1	"noun"	"အီးမေးလ်"	42
"SNT.12015.109"	"adp"	"မှာ"	6	1	"noun"	"နှစ်"	5
"SNT.12015.109"	"adp"	"မှာ"	11	1	"noun"	"ကွန်ပျူတာ"	9
"SNT.2320.111"	"adp"	"မှာ"	2	1	"noun"	"ဘင်္ဂလားဒေ့ရှ်"	1
"SNT.111716.112"	"adp"	"တွင်"	5	1	"noun"	"ပြည်နယ်"	4
"SNT.111716.112"	"adp"	"၌"	30	1	"noun"	"အစောပိုင်း"	29
"SNT.111716.112"	"adp"	"မှာ"	47	1	"noun"	"အကြွင်းအကျန်"	36
"SNT.111716.113"	"adp"	"တွင်"	16	1	"noun"	"ရှာနေချိန်"	15
"SNT.111716.113"	"adp"	"၌"	20	1	"noun"	"သစ်တော"	19
"SNT.111716.113"	"adp"	"တွင်"	60	1	"noun"	"နေ့"	59
"SNT.111716.116"	"adp"	"တွင်"	16	1	"noun"	"အထောက်အပံ့"	11
"SNT.111716.116"	"adp"	"တွင်"	36	1	"noun"	"အကွာအဝေး"	35
"SNT.111716.117"	"adp"	"၌"	6	1	"noun"	"ကာလ"	5
"SNT.111716.117"	"adp"	"တွင်"	17	1	"noun"	"လက်ကောက်ဝတ်"	16
"SNT.511196.120"	"adp"	"တွင်"	59	1	"noun"	"အစောပိုင်း"	58
"SNT.511196.121"	"adp"	"၌"	12	1	"noun"	"ပြိုင်ပွဲ"	11
"SNT.511196.121"	"adp"	"တွင်"	20	1	"noun"	"ပြိုင်ပွဲ"	19
"SNT.511196.122"	"adp"	"တွင်"	3	1	"noun"	"ကစားပွဲ"	1
"SNT.511196.124"	"adp"	"မှာ"	66	1	"noun"	"အဆင့်"	65
"SNT.511196.125"	"adp"	"မှာ"	7	1	"noun"	"နိုင်ငံ"	2
"SNT.511196.125"	"adp"	"မှာ"	21	1	"noun"	"ပွဲ"	10
"SNT.511196.126"	"adp"	"တွင်"	10	1	"noun"	"အဖွဲ့"	9
"SNT.55716.127"	"adp"	"တွင်"	21	1	"noun"	"စက်တင်ဘာ"	19
"SNT.55716.127"	"adp"	"တွင်"	35	1	"noun"	"လ"	33
"SNT.55716.128"	"adp"	"မှာ"	45	1	"noun"	"နှုန်း"	44
"SNT.55716.130"	"adp"	"တွင်"	23	1	"noun"	"လ"	21
"SNT.55716.132"	"adp"	"တွင်"	5	1	"noun"	"နေ့"	4
"SNT.55716.132"	"adp"	"၌"	8	1	"noun"	"ရာခိုင်နှုန်း"	7
"SNT.57401.134"	"adp"	"၌"	2	1	"noun"	"ဘန်ကောက်"	1
"SNT.57401.134"	"adp"	"တွင်"	7	1	"noun"	"ပွဲတော်"	5
"SNT.57401.135"	"adp"	"မှာ"	5	1	"noun"	"လုံး"	11
"SNT.57401.135"	"adp"	"တွင်"	16	1	"noun"	"GMT"	14
"SNT.57401.135"	"adp"	"တွင်"	27	1	"noun"	"နေရာ"	25
"SNT.57401.136"	"adp"	"တွင်"	10	1	"noun"	"အများပြည်သူ"	6
"SNT.57401.136"	"adp"	"၌"	23	1	"noun"	"အကာ"	22
"SNT.57401.137"	"adp"	"တွင်"	9	1	"noun"	"နောက်ပိုင်း"	8
"SNT.57401.137"	"adp"	"မှာ"	15	1	"noun"	"နောက်ပိုင်း"	8
"SNT.57401.137"	"adp"	"တွင်"	17	1	"noun"	"ဆေးရုံ"	16
"SNT.57401.138"	"adp"	"မှာ"	7	1	"noun"	"ဆေးရုံ"	16
"SNT.57401.138"	"adp"	"၌"	16	1	"noun"	"လမ်းဆုံ"	15
"SNT.57401.138"	"adp"	"တွင်"	26	1	"noun"	"ပုံ"	24
"SNT.57401.139"	"adp"	"တွင်"	12	1	"noun"	"နောက်ပိုင်း"	11
"SNT.57401.139"	"adp"	"၌"	14	1	"noun"	"ဆေးရုံ"	13
"SNT.57401.141"	"adp"	"၌"	11	1	"noun"	"စခန်း"	10
"SNT.57401.141"	"adp"	"တွင်"	14	1	"noun"	"စခန်း"	10
"SNT.57401.143"	"adp"	"မှာ"	4	1	"noun"	"လက်ပစ်ဗုံး"	17
"SNT.57401.143"	"adp"	"တွင်"	12	1	"noun"	"နယ်မြေ"	11
"SNT.57401.144"	"adp"	"တွင်"	10	1	"noun"	"ဆင်ခြေဖုံး"	9
"SNT.57401.144"	"adp"	"တွင်"	16	1	"noun"	"နယ်မြေ"	15
"SNT.57401.145"	"adp"	"၌"	15	1	"noun"	"ကန်"	13
"SNT.57401.145"	"adp"	"တွင်"	26	1	"noun"	"စတိုးဆိုင်"	25
"SNT.57401.147"	"adp"	"တွင်"	6	1	"noun"	"နေရာ"	4
"SNT.57401.148"	"adp"	"၌"	7	1	"noun"	"ည"	4
"SNT.57401.148"	"adp"	"တွင်"	9	1	"noun"	"CentralWorld"	8
"SNT.57401.150"	"adp"	"တွင်"	4	1	"noun"	"တောင်ပိုင်း"	3
"SNT.57401.150"	"adp"	"မှာ"	30	1	"noun"	"ဦးရေ"	29
"SNT.48987.152"	"adp"	"တွင်"	5	1	"noun"	"ပြည်နယ်"	4
"SNT.48987.153"	"adp"	"တွင်"	7	1	"noun"	"အချိန်"	6
"SNT.48987.153"	"adp"	"၌"	14	1	"noun"	"အမြင့်"	13
"SNT.114026.157"	"adp"	"တွင်"	36	1	"noun"	"ကိုယ်စားလှယ်"	33
"SNT.114026.161"	"adp"	"မှာ"	5	1	"noun"	"ကင်းစဝေး"	4
"SNT.114026.162"	"adp"	"တွင်"	4	1	"noun"	"ခွဲရေး"	3
"SNT.114026.162"	"adp"	"မှာ"	6	1	"noun"	"အဓိက"	5
"SNT.114026.167"	"adp"	"မှာ"	9	1	"noun"	"ဒေးဗစ်စ်"	28
"SNT.114026.167"	"adp"	"မှာ"	36	1	"noun"	"အန်ဗာရွန်းစ်"	35
"SNT.114026.167-1"	"adp"	"မှာ"	16	1	"noun"	"အန်ဗာရွန်းစ်"	15
"SNT.114026.169"	"adp"	"မှာ"	5	1	"noun"	"နယ်မြေ"	4
"SNT.114026.169"	"adp"	"မှာ"	19	1	"noun"	"အဖွဲ့အစည်း"	18
"SNT.114026.171"	"adp"	"မှာ"	48	1	"noun"	"ခုနှစ်"	47
"SNT.114026.172"	"adp"	"မှာ"	42	1	"noun"	"အတွင်း"	41
"SNT.15789.178"	"adp"	"မှာ"	37	1	"noun"	"အချိန်"	36
"SNT.15789.179"	"adp"	"မှာ"	23	1	"noun"	"အသေးဖွဲအပြစ်"	20
"SNT.15789.179"	"adp"	"မှာ"	52	1	"noun"	"ဖော်ရမ်"	49
"SNT.15789.180"	"adp"	"မှာ"	18	1	"noun"	"အီရတ်"	17
"SNT.15789.183"	"adp"	"မှာ"	14	1	"noun"	"နေ့"	13
"SNT.147349.185"	"adp"	"တွင်"	7	1	"noun"	"ဝတ်ဆိုက်"	6
"SNT.147349.185"	"adp"	"မှာ"	17	1	"noun"	"မနေ့"	8
"SNT.147349.187"	"adp"	"တွင်"	10	1	"noun"	"ဘောင်းဘီ"	9
"SNT.147349.187"	"adp"	"တွင်"	32	1	"noun"	"ယူအက်"	31
"SNT.147349.188"	"adp"	"တွင်"	7	1	"noun"	"နိုင်ငံ"	6
"SNT.147349.188"	"adp"	"၌"	26	1	"noun"	"လေဆိပ်"	23
"SNT.83870.189"	"adp"	"မှာ"	10	1	"noun"	"အတွင်း"	9
"SNT.83870.189"	"adp"	"၌"	27	1	"noun"	"တက္ကသိုလ်"	26
"SNT.83870.189"	"adp"	"မှာ"	54	1	"noun"	"သတင်း"	53
"SNT.83870.191"	"adp"	"တွင်"	6	1	"noun"	"နောက်ပိုင်း"	5
"SNT.83870.191"	"adp"	"တွင်"	19	1	"noun"	"ဒေသ"	18
"SNT.83870.191"	"adp"	"မှာ"	23	1	"noun"	"လူဦးရေ"	20
"SNT.83870.191"	"adp"	"တွင်"	42	1	"noun"	"အောက်"	41
"SNT.83870.191"	"adp"	"တွင်"	49	1	"noun"	"ကြား"	48
"SNT.83870.192"	"adp"	"တွင်"	3	1	"noun"	"ဥရောပ"	2
"SNT.83870.193"	"adp"	"မှာ"	12	1	"noun"	"ကြား"	11
"SNT.83870.197"	"adp"	"မှာ"	8	1	"noun"	"အတွင်း"	7
"SNT.83870.197"	"adp"	"တွင်"	18	1	"noun"	"ရာသီ"	17
"SNT.83870.198"	"adp"	"တွင်"	16	1	"noun"	"အဆင့်"	15
"SNT.83870.199"	"adp"	"တွင်"	39	1	"noun"	"သုတေသန"	38
"SNT.48012.200"	"adp"	"မှာ"	2	1	"noun"	"အာဖဂန်နစ်စတန်"	1
"SNT.48012.201"	"adp"	"မှာ"	8	1	"noun"	"ပတ်ဝန်းကျင်"	7
"SNT.48012.204"	"adp"	"မှာ"	18	1	"noun"	"ဒရိုင်ဘာ"	1
"SNT.48012.207"	"adp"	"မှာ"	10	1	"noun"	"စစ်သား"	8
"SNT.48012.208"	"adp"	"မှာ"	23	1	"noun"	"ဗုံး"	16
"SNT.48012.208"	"adp"	"မှာ"	32	1	"noun"	"ဗုံး"	16
"SNT.48012.211"	"adp"	"မှာ"	14	1	"noun"	"နေရာ"	13
"SNT.48012.212"	"adp"	"မှာ"	25	1	"noun"	"အပေါက်"	23
"SNT.48012.213"	"adp"	"မှာ"	6	1	"noun"	"နာရီ"	5
"SNT.48012.213"	"adp"	"မှာ"	13	1	"noun"	"နာရီ"	5
"SNT.48012.214"	"adp"	"မှာ"	12	1	"noun"	"အခြေအနေ"	11
"SNT.48012.215"	"adp"	"မှာ"	13	1	"noun"	"ကန်ဒါဟာ"	12
"SNT.48012.215"	"adp"	"မှာ"	32	1	"noun"	"အရှိန်"	21
"SNT.48012.216"	"adp"	"မှာ"	17	1	"noun"	"နှောင်းပိုင်း"	16
"SNT.48012.216"	"adp"	"မှာ"	24	1	"noun"	"အာဖဂန်နစ်စတန်"	23
"SNT.217859.218"	"adp"	"တွင်"	16	1	"noun"	"အမျိုးအစား"	11
"SNT.217859.221"	"adp"	"တွင်"	14	1	"noun"	"သူ"	12
"SNT.217859.224"	"adp"	"တွင်"	8	1	"noun"	"ဝေဒနာသည်"	6
"SNT.217859.224"	"adp"	"တွင်"	41	1	"noun"	"ကနဦး"	36
"SNT.431239.226"	"adp"	"တွင်"	18	1	"noun"	"ညီလာခံ"	17
"SNT.431239.229"	"adp"	"တွင်"	3	1	"noun"	"ခုနှစ်"	2
"SNT.431239.230"	"adp"	"တွင်"	16	1	"noun"	"ခုနှစ်"	15
"SNT.431239.230"	"adp"	"တွင်"	23	1	"noun"	"ခုနှစ်"	22
"SNT.431239.232"	"adp"	"တွင်"	7	1	"noun"	"ခုနှစ်"	6
"SNT.431239.234"	"adp"	"တွင်"	3	1	"noun"	"ခုနှစ်"	2
"SNT.431239.234"	"adp"	"တွင်"	12	1	"noun"	"ရေးရာ"	11
"SNT.431239.235"	"adp"	"တွင်"	7	1	"noun"	"စကားပွဲ"	4
"SNT.431239.236"	"adp"	"တွင်"	5	1	"noun"	"ဒီဇင်ဘာ"	4
"SNT.431239.237"	"adp"	"တွင်"	12	1	"noun"	"စနစ်"	11
"SNT.431239.238"	"adp"	"တွင်"	2	1	"noun"	"ဆန့်ကျင်ဘက်"	1
"SNT.431239.242"	"adp"	"တွင်"	5	1	"noun"	"ခုနှစ်"	4
"SNT.431239.242"	"adp"	"တွင်"	17	1	"noun"	"ကယ်လီဖိုးနီးယား"	16
"SNT.431239.243"	"adp"	"တွင်"	11	1	"noun"	"မီဒီယာ"	7
"SNT.431239.244"	"adp"	"တွင်"	3	1	"noun"	"ခုနှစ်"	2
"SNT.431239.245"	"adp"	"တွင်"	27	1	"noun"	"ရွန်မ်နေ"	24
"SNT.431239.246"	"adp"	"တွင်"	7	1	"noun"	"ပြိုင်ပွဲ"	6
"SNT.39955.247"	"adp"	"တွင်"	11	1	"noun"	"ရွေးကောက်ပွဲ"	9
"SNT.39955.247"	"adp"	"တွင်"	16	1	"noun"	"မနက်ပိုင်း"	15
"SNT.39955.247"	"adp"	"တွင်"	30	1	"noun"	"ဝန်ကြီးအဖွဲ့"	26
"SNT.39955.248"	"adp"	"မှာ"	8	1	"noun"	"အဆုံး"	7
"SNT.39955.248"	"adp"	"တွင်"	34	1	"noun"	"ခေါင်းကြီးပိုင်း"	33
"SNT.39955.249"	"adp"	"တွင်"	14	1	"noun"	"နေရာ"	13
"SNT.206230.250"	"adp"	"၌"	14	1	"noun"	"နှစ်"	13
"SNT.206230.250"	"adp"	"တွင်"	19	1	"noun"	"နိုင်ငံ"	18
"SNT.206230.250"	"adp"	"တွင်"	28	1	"noun"	"ကား"	21
"SNT.206230.252"	"adp"	"တွင်"	15	1	"noun"	"အစောပိုင်း"	13
"SNT.206230.253"	"adp"	"တွင်"	3	1	"noun"	"စစ်ပွဲ"	2
"SNT.206230.254"	"adp"	"တွင်"	7	1	"noun"	"ပန်စီဗန်နီးယား"	6
"SNT.206230.254"	"adp"	"တွင်"	11	1	"noun"	"ပန်စီဗန်နီးယား"	6
"SNT.206230.256"	"adp"	"တွင်"	19	1	"noun"	"သူ"	11
"SNT.263509.257"	"adp"	"တွင်"	4	1	"noun"	"ညနေခင်း"	3
"SNT.263509.258"	"adp"	"တွင်"	38	1	"noun"	"အချိန်"	37
"SNT.263509.259"	"adp"	"တွင်"	18	1	"noun"	"ည"	16
"SNT.263509.261"	"adp"	"တွင်"	8	1	"noun"	"ရုံ"	7
"SNT.263509.261"	"adp"	"တွင်"	25	1	"noun"	"ရုံ"	22
"SNT.263509.262"	"adp"	"၌"	4	1	"noun"	"နိုင်ငံ"	3
"SNT.263509.263"	"adp"	"တွင်"	3	1	"noun"	"နေ့"	2
"SNT.263509.263"	"adp"	"၌"	15	1	"noun"	"ရုံ"	12
"SNT.263509.264"	"adp"	"တွင်"	14	1	"noun"	"လ"	13
"SNT.263509.266"	"adp"	"၌"	4	1	"noun"	"လုပ်ငန်း"	3
"SNT.263509.266"	"adp"	"တွင်"	7	1	"noun"	"လေထဲ"	6
"SNT.263509.268"	"adp"	"တွင်"	22	1	"noun"	"လက်"	20
"SNT.263509.271"	"adp"	"တွင်"	2	1	"noun"	"ရှန်ဇန်း"	1
"SNT.744655.272"	"adp"	"တွင်"	31	1	"noun"	"မြို့တော်"	30
"SNT.744655.273"	"adp"	"တွင်"	6	1	"noun"	"ပင်လယ်"	5
"SNT.744655.273"	"adp"	"တွင်"	12	1	"noun"	"ကီလိုမီတာ"	11
"SNT.744655.273"	"adp"	"တွင်"	28	1	"noun"	"မော်စကို"	27
"SNT.744655.275"	"adp"	"တွင်"	2	1	"noun"	"မော်စကို"	1
"SNT.744655.275"	"adp"	"တွင်"	18	1	"noun"	"ခုနှစ်"	17
"SNT.744655.276"	"adp"	"တွင်"	8	1	"noun"	"နယ်မြေ"	5
"SNT.744655.277"	"adp"	"တွင်"	3	1	"noun"	"ကြားလွှာ"	2
"SNT.744655.277"	"adp"	"တွင်"	14	1	"noun"	"အနက်"	12
"SNT.744655.278"	"adp"	"၌"	7	1	"noun"	"နေရာ"	6
"SNT.744655.278"	"adp"	"တွင်"	12	1	"noun"	"ဖြစ်စဉ်"	10
"SNT.744655.279"	"adp"	"၌"	3	1	"noun"	"ကျွန်း"	2
"SNT.744655.279"	"adp"	"တွင်"	6	1	"noun"	"နေ့"	5
"SNT.744655.280"	"adp"	"တွင်"	7	1	"noun"	"နောက်"	4
"SNT.73662.287"	"adp"	"တွင်"	15	1	"noun"	"နေရာ"	14
"SNT.73662.287"	"adp"	"တွင်"	25	1	"noun"	"အတိုင်းအတာ"	22
"SNT.73662.288"	"adp"	"တွင်"	5	1	"noun"	"နယူးယောက်"	4
"SNT.73662.289"	"adp"	"တွင်"	21	1	"noun"	"မြို့တော်"	20
"SNT.154734.290"	"adp"	"တွင်"	14	1	"noun"	"တက္ကသိုလ်"	13
"SNT.154734.292"	"adp"	"တွင်"	20	1	"noun"	"တက္ကသိုလ်"	14
"SNT.154734.294"	"adp"	"တွင်"	7	1	"noun"	"အချုပ်အနှောင်"	6
"SNT.154734.294"	"adp"	"တွင်"	27	1	"noun"	"နေရာ"	26
"SNT.60981.298"	"adp"	"တွင်"	3	1	"noun"	"ကိစ္စ"	2
"SNT.60981.298"	"adp"	"မှာ"	14	1	"noun"	"တိုင်းပြည်"	6
"SNT.60981.300"	"adp"	"မှာ"	2	1	"noun"	"မလေးရှား"	1
"SNT.181212.303"	"adp"	"မှာ"	9	1	"noun"	"ပန်းခြံ"	8
"SNT.181212.303"	"adp"	"မှာ"	16	1	"noun"	"ပွဲ"	15
"SNT.181212.303"	"adp"	"မှာ"	33	1	"noun"	"ပွဲ"	29
"SNT.181212.304"	"adp"	"မှာ"	10	1	"noun"	"အဆင့်"	9
"SNT.181212.306"	"adp"	"မှာ"	3	1	"noun"	"နေရာ"	2
"SNT.181212.307"	"adp"	"မှာ"	10	1	"noun"	"အဆင့်"	9
"SNT.181212.309"	"adp"	"မှာ"	16	1	"noun"	"ဒုတိယပိုင်း"	15
"SNT.181212.310"	"adp"	"မှာ"	3	1	"noun"	"မိနစ်"	2
"SNT.181212.310"	"adp"	"မှာ"	10	1	"noun"	"ပိုက်"	8
"SNT.181212.312"	"adp"	"မှာ"	30	1	"noun"	"မိနစ်"	29
"SNT.181212.315"	"adp"	"မှာ"	4	1	"noun"	"အကြံ"	12
"SNT.181212.316"	"adp"	"မှာ"	2	1	"noun"	"အသင်း"	1
"SNT.181212.320"	"adp"	"မှာ"	19	1	"noun"	"အဆင့်"	18
"SNT.181212.321"	"adp"	"မှာ"	22	1	"noun"	"ကာလ"	21
"SNT.181212.322"	"adp"	"မှာ"	3	1	"noun"	"အတွေ့အကြုံ"	29
"SNT.129235.327"	"adp"	"မှာ"	11	1	"noun"	"အလုပ်"	3
