"value","value_pair","count"
"၌","ကမ်းခြေ",1
"၌","ကမ်းဘရီးရာ",1
"၌","ကမ်းရိုးတန်း",1
"၌","ကယ်လီဖိုးနီးယား",1
"၌","ကျေးရွာ",1
"၌","ကရကတ်",1
"၌","ကရိယာ",1
"၌","ကြိမ်နှုန်း",1
"၌","ကလီစာ",1
"၌","ကွင်းစလန်",1
"၌","ကွန်ဂရက်",1
"၌","ကွိုင်းလင်း",1
"၌","ကာကွယ်ရေး",1
"၌","ကားမောင်းပြိုင်ပွဲ",1
"၌","ကာရေဘီယံ",1
"၌","ကိစ္စ",1
"၌","ကိုရီးယား",1
"၌","ကိုလံဘီယာ",1
"၌","ကိုလိုရာဒို",1
"၌","ကုန်ကျငွေ",1
"၌","ကုလသမဂ္ဂ",1
"၌","ကူညီရာ",1
"၌","ကောင်စီ",1
"၌","ကောင်တီ",1
"၌","ကော့ဒ်",1
"၌","ကောလိပ်",1
"၌","ကော်မတီ",1
"၌","ကော်လံ",1
"၌","ခံတပ်",1
"၌","ခန္ဓာကိုယ်တွင်း",1
"၌","ခန့်မှန်းချေ",1
"၌","ချန်ပီယံရှစ်",1
"၌","ချိုင့်ဝှမ်း",1
"၌","ချီတက်ပွဲ",1
"၌","ခရီးစဥ်",1
"၌","ခြံဝင်း",1
"၌","ခြေရင်း",1
"၌","ခွင့်",1
"၌","ခုနစ်",1
"၌","ခေါင်းစဉ်",1
"၌","ဂျနဲရိုး",1
"၌","ဂျာမနီ",1
"၌","ဂျီနီဗာ",1
"၌","ဂျီအမ်တီ",1
"၌","ဂါဇာ",1
"၌","စစ်ပွဲ",1
"၌","စစ်မြေပြင်",1
"၌","စနစ်",1
"၌","စန်တာ",1
"၌","စပိန်",1
"၌","စွမ်းရည်",1
"၌","စားချိန်",1
"၌","စားပွဲ",1
"၌","စာရင်း",1
"၌","စာရေးနေချိန်",1
"၌","စိုက်ပျိုးရေး",1
"၌","စီ",1
"၌","စီးပွားရေး",1
"၌","စီအန်အီးဒီ",1
"၌","ဆန္ဒ",1
"၌","ဆပ်ဖိခ်",1
"၌","ဆယ်စုနှစ်",1
"၌","ဆွင်ဒန်",1
"၌","ဆာဗီးရား",1
"၌","ဆာရာဘာရာ",1
"၌","ဆိပ်ကမ်း",1
"၌","ဆိုင်",1
"၌","ဆိုင်ရာ",1
"၌","ဆိုမာလီယာ",1
"၌","ဆေးခန်း",1
"၌","ဆောင်ဒီ",1
"၌","ဆောင်းပါး",1
"၌","ဆောင်ရွက်ရာ",1
"၌","ဈေး",1
"၌","ဈေးကွက်",1
"၌","ညနေ",1
"၌","ညနေပိုင်း",1
"၌","ညဘက်",1
"၌","ဌာနချုပ်",1
"၌","တစ်ကိုယ်တော်",1
"၌","တစ်ချိန်ချိန်",1
"၌","တစ်စိတ်တစ်ပိုင်း",1
"၌","တစ်လျှောက်",1
"၌","တစ်သက်တာ",1
"၌","တံတားတိုင်",1
"၌","တံတိုင်း",1
"၌","တပ်",1
"၌","တဘက်",1
"၌","တရားခွင်",1
"၌","တရားရုံးချုပ်",1
"၌","တရုတ်",1
"၌","တွင်း",1
"၌","တွန်းအား",1
"၌","တာဗက်တာ",1
"၌","တိန်းရှီးဖူး",1
"၌","တိရစ္ဆာန်ရုံ",1
"၌","တိုက်ခန်း",1
"၌","တိုက်ပွဲ",1
"၌","တိုင်းစ်",1
"၌","တိုင်းပြည်",1
"၌","တိုင်းယားလက်စ်",1
"၌","တိုရန်းတိုး",1
"၌","တောင်ကျချောင်း",1
"၌","တောင်ကာရိုလိုင်းနား",1
"၌","တောင်ဘက်",1
"၌","တောင်ဘက်စွန်း",1
"၌","တောအုပ်",1
"၌","တော်တို",1
"၌","ထရက်ဖို့",1
"၌","ထရုခ်မင်နစ္စတန်",1
"၌","ထိပ်",1
"၌","ဒင်နုဘာ",1
"၌","ဒဏ်ရာ",1
"၌","ဒယ်ဟီ",1
"၌","ဒီကေချာ",1
"၌","ဒီဂို",1
"၌","ဒီလေး",1
"၌","ဒုတိယပိုင်း",1
"၌","ဓာတ်ခွဲခန်း",1
"၌","ဓာတ်ပုံ",1
"၌","နည်း",1
"၌","နံနက်ပိုင်း",1
"၌","နန်ဂန်",1
"၌","နယူး",1
"၌","နယူးဇီလန်",1
"၌","နယ်နိမိတ်",1
"၌","နံရံ",1
"၌","နှစ်ဖက်",1
"၌","နှုတ်ခမ်း",1
"၌","နှုန်း",1
"၌","နှောင်းပိုင်း",1
"၌","နာဆာ",1
"၌","နိုက်ကလပ်",1
"၌","နိုင်ငံရေး",1
"၌","နိုဗက်ခ်",1
"၌","နီယွန်",1
"၌","နေတိုး",1
"၌","နော့တင်ဟမ်",1
"၌","ပညာရေး",1
"၌","ပဋိပက္ခ",1
"၌","ပဏာမ",1
"၌","ပတ္တာနာ",1
"၌","ပရင့်စက်",1
"၌","ပြင်သစ်",1
"၌","ပြည်တွင်း",1
"၌","ပြန်ကစားပွဲ",1
"၌","ပြပွဲ",1
"၌","ပြီးပြီးချင်း",1
"၌","ပြေးလမ်း",1
"၌","ပြောစကား",1
"၌","ပါပီဂန်",1
"၌","ပါရာလမ်ပစ်",1
"၌","ပို့ကုန်ငွေ",1
"၌","ပို့စ်",1
"၌","ပီဘာရာ",1
"၌","ပုံစံ",1
"၌","ဖန်သားပြင်",1
"၌","ဖြစ်ပွားချိန်",1
"၌","ဖြစ်ရပ်",1
"၌","ဖြည့်ရုံ",1
"၌","ဖိုချာဘားစ်",1
"၌","ဖီလာဒဲဖီးယား",1
"၌","ဗျူရို",1
"၌","ဗြိတိန်",1
"၌","ဗာစ်ဟဲမ်",1
"၌","ဗိုလ်လုပွဲ",1
"၌","ဘဂ္ဂဒက်",1
"၌","ဘန်ကောက်",1
"၌","ဘန်ဒက်စ်ရက်",1
"၌","ဘန်ဒါဘက်",1
"၌","ဘရောင်းဆန်ဒါ",1
"၌","ဘလောခ့်",1
"၌","ဘား",1
"၌","ဘာလင်",1
"၌","ဘာသာပြန်",1
"၌","ဘိုင်းရို့",1
"၌","ဘီအက်စ်တီ",1
"၌","ဘုတ်ပြား",1
"၌","ဘူခရက်",1
"၌","ဘူတာ",1
"၌","ဘေး",1
"၌","ဘေဂျင်း",1
"၌","ဘဲ",1
"၌","ဘဲလ်ဖတ်",1
"၌","ဘဲလ်ဖာ့စ်",1
"၌","မက်စတွတ်",1
"၌","မက်ထရိုဒုန်း",1
"၌","မက်ဒရစ်",1
"၌","မနက်ဖြန်",1
"၌","မန်ဒိုရာ",1
"၌","မြှင့်တင်ရေး",1
"၌","မြေပြင်",1
"၌","မွန်းလွဲပိုင်း",1
"၌","မွိုင်းစ်",1
"၌","မှတ်",1
"၌","မှတ်တမ်းလွှာ",1
"၌","မှတ်တိုင်",1
"၌","မာစင်စစ်",1
"၌","မာပါ",1
"၌","မိန့်ခွန်း",1
"၌","မိုင်းတွင်း",1
"၌","မီး",1
"၌","မီရဇ",1
"၌","မေးခွန်း",1
"၌","မေးမြန်းခန်း",1
"၌","မော့ဂါဒိရှူး",1
"၌","မော်စကို",1
"၌","မော်တော်ဆိုင်ကယ်",1
"၌","မဲရုံ",1
"၌","မဲလ်ဘုန်း",1
"၌","ယူအက်စ်ဒီအေ",1
"၌","ယော့ရကာတာ",1
"၌","ရက်နေ့",1
"၌","ရင်ပြင်",1
"၌","ရထားတွဲ",1
"၌","ရန်ပုံငွေ",1
"၌","ရပ်စီကိုးစ်",1
"၌","ရဝေး",1
"၌","ရွာ",1
"၌","ရဟတ်ယာဉ်",1
"၌","ရှေ့မှောက်",1
"၌","ရာစုနှစ်",1
"၌","ရာထူး",1
"၌","ရာသီ",1
"၌","ရာသီဥတု",1
"၌","ရိပ်သာ",1
"၌","ရုံး",1
"၌","ရုံးတက်ရုံးဆင်းချိန်",1
"၌","ရုရှား",1
"၌","ရေကန်",1
"၌","ရေတပ်",1
"၌","ရောဂါ",1
"၌","ရောမ",1
"၌","လက်ကြား",1
"၌","လက်ဘနွန်",1
"၌","လက်မောင်း",1
"၌","လမုတော",1
"၌","လမ်း",1
"၌","လမ်းခရီး",1
"၌","လမ်းခွဲ",1
"၌","လမ်းပေါ်",1
"၌","လမ်းဘေး",1
"၌","လယ်ကောင်",1
"၌","လျှပ်စစ်",1
"၌","လိမ်း",1
"၌","လိုင်း",1
"၌","လူကာစ",1
"၌","လူနာ",1
"၌","လူးဝက်စ်",1
"၌","လူးဝစ်",1
"၌","လူဦးရေ",1
"၌","ဝက်ဆိုဒ်",1
"၌","ဝင်ပေါက်",1
"၌","ဝယ်လို",1
"၌","ဝိညာဉ်",1
"၌","ဝေးနီး",1
"၌","ဝေမျှရေး",1
"၌","သက်သေ",1
"၌","သချိုင်းဂူ",1
"၌","သင်ကြားရေး",1
"၌","သင်္ကေတ",1
"၌","သင်္ဘော",1
"၌","သတင်းစာ",1
"၌","သတ်မှတ်ချက်",1
"၌","သပိတ်",1
"၌","သံရုံး",1
"၌","သြစတြေးလျ",1
"၌","သေဆုံးချိန်",1
"၌","သေဆုံးခဲ့ချိန်",1
"၌","သေနတ်",1
"၌","သောင်",1
"၌","သောမက်စ်",1
"၌","ဟန်ဂါရရင်း",1
"၌","ဟာရဲ",1
"၌","ဟောက်စ်",1
"၌","အကျဥ်းထောင်",1
"၌","အကြောင်းအရာ",1
"၌","အကွာ",1
"၌","အကွာအဝေး",1
"၌","အကာ",1
"၌","အကူ",1
"၌","အခက်အခဲ",1
"၌","အခန်း",1
"၌","အချက်အလက်",1
"၌","အချိန်တိုင်း",1
"၌","အချေအတင်ပြောပွဲ",1
"၌","အခြအနေ",1
"၌","အခြား",1
"၌","အခြားနေရာ",1
"၌","အစည်းအဝေးပွဲ",1
"၌","အစိတ်အပိုင်း",1
"၌","အစိုးရ",1
"၌","အဆို",1
"၌","အဆောက်အဉီး",1
"၌","အဆောက်အအုံ",1
"၌","အတွင်းပိုင်း",1
"၌","အတိတ်",1
"၌","အထဲ",1
"၌","အဓိကရုဏ်း",1
"၌","အနှံ့အပြား",1
"၌","အနေအထား",1
"၌","အနောက်ပိုင်း",1
"၌","အန္တရာယ်",1
"၌","အန္တာတိက",1
"၌","အန်ဇက်အက်စ်တီ",1
"၌","အန်တရင်း",1
"၌","အန်ဝိုင်အက်အီး",1
"၌","အပြီး",1
"၌","အပူချိန်",1
"၌","အဖြစ်အပျက်",1
"၌","အဖွဲ့",1
"၌","အဖွဲ့ဝင်",1
"၌","အမျိုးမျိုး",1
"၌","အမျိုးအစား",1
"၌","အမြင့်",1
"၌","အမေရိက",1
"၌","အယ်လ်-ရှိခ်",1
"၌","အယ်အေ-ရုပ်သံ",1
"၌","အရပ်",1
"၌","အရှေ့ပိုင်း",1
"၌","အရှေ့မြောက်ပိုင်း",1
"၌","အရိုးစု",1
"၌","အရုဏ်တက်ချိန်",1
"၌","အရေအတွက်",1
"၌","အလယ်",1
"၌","အလှူရှင်",1
"၌","အွန်လိုင်း",1
"၌","အသက်",1
"၌","အသင်းတော်",1
"၌","အသင်းတော်ပွဲ",1
"၌","အသုဘ",1
"၌","အားကစား",1
"၌","အာကာသ",1
"၌","အားစားကွင်း",1
"၌","အာဇာနည်",1
"၌","အာဏာ",1
"၌","အာဖရိက",1
"၌","အာရုံ",1
"၌","အိန္ဒိယ",1
"၌","အိပ်ဆောင်ခန်းမ",1
"၌","အိမ်တော်",1
"၌","အိုင်တီဗွီ",1
"၌","အိုဘယ်လ်",1
"၌","အီးယူရိုဗစ်ရှင်",1
"၌","အီးအက်စ်တီ",1
"၌","အေ",1
"၌","အေကေပီ",1
"၌","အေအိုင်အက်စ်",1
"၌","အေအီးအက်စ်တီ",1
"၌","အောက်ခြေ",1
"၌","အောက်တိုဘာ",1
"၌","အော်စတင်",1
"၌","အော်ရီဂွန်",1
"၌","ဥပဒေ",1
"၌","ဥမင်",1
"၌","ဥရောပ",1
"၌","ဦးဏှောက်",1
"၌","ဦးနှောက်",1
"၌","ဩစတြေးလျ",1
"မှာ","နေရာ",105
"မှာ","နေ့",63
"မှာ","သူ",53
"မှာ","အတွင်း",48
"မှာ","အပေါ်",46
"မှာ","အောက်",41
"မှာ","အချိန်",36
"မှာ","ပွဲ",34
"မှာ","နှစ်",33
"မှာ","ခုနှစ်",31
"မှာ","နိုင်ငံ",31
"မှာ","လ",30
"မှာ","ပြိုင်ပွဲ",29
"မှာ","နောက်ဆုံး",20
"မှာ","မြို့",19
"မှာ","မိနစ်",19
"မှာ","နာရီ",18
"မှာ","အခြေအနေ",18
"မှာ","အရေအတွက်",18
"မှာ","အရာ",17
"မှာ","နောက်",16
"မှာ","ပြည်နယ်",14
"မှာ","ရွေးကောက်ပွဲ",14
"မှာ","သတင်း",14
"မှာ","အလုပ်",14
"မှာ","ကြား",13
"မှာ","ဒေသ",13
"မှာ","နောက်ပိုင်း",13
"မှာ","ကိစ္စ",12
"မှာ","လူ",12
"မှာ","အစီအစဉ်",12
"မှာ","အဆုံး",12
"မှာ","နှုန်း",11
"မှာ","အသင်း",11
"မှာ","ကနေဒါ",10
"မှာ","ကမ္ဘာ",10
"မှာ","ရက်",10
"မှာ","ရလဒ်",10
"မှာ","ရာသီ",10
"မှာ","အပြင်ဘက်",10
"မှာ","အီရတ်",10
"မှာ","ကျောင်း",9
"မှာ","ကာလ",9
"မှာ","စာ",9
"မှာ","စာရင်း",9
"မှာ","ဒဏ်ရာ",9
"မှာ","ရာခိုင်နှုန်း",9
"မှာ","လွှတ်တော်",9
"မှာ","ဝန်းကျင်",9
"မှာ","အကြောင်း",9
"မှာ","အစောပိုင်း",9
"မှာ","အထဲ",9
"မှာ","အနည်းငယ်",9
"မှာ","အဖွဲ့",9
"မှာ","ဆေးရုံ",8
"မှာ","သန်း",8
"မှာ","အစ",8
"မှာ","အသစ်",8
"မှာ","အိမ်",8
"မှာ","စကာ",7
"မှာ","စခန်း",7
"မှာ","ဆိုင်ရာ",7
"မှာ","ညီလာခံ",7
"မှာ","ထိပ်ဆုံး",7
"မှာ","ပွဲစဉ်",7
"မှာ","မနက်",7
"မှာ","ယနေ့",7
"မှာ","သတင်းစာ",7
"မှာ","သမိုင်း",7
"မှာ","အဆင့်",7
"မှာ","အဆို",7
"မှာ","ကျေးဇူး",6
"မှာ","ကွင်း",6
"မှာ","စနစ်",6
"မှာ","ည",6
"မှာ","တစ်ဝက်",6
"မှာ","ထောင်",6
"မှာ","ပြည်ထောင်စု",6
"မှာ","ပြဿနာ",6
"မှာ","ပါတီ",6
"မှာ","ပုံ",6
"မှာ","ဖြစ်ရပ်",6
"မှာ","ရှေ့",6
"မှာ","လန်ဒန်",6
"မှာ","လူဦးရေ",6
"မှာ","အစိုးရ",6
"မှာ","အန္တရာယ်",6
"မှာ","အပိုင်း",6
"မှာ","အဖြစ်",6
"မှာ","အရာရှိ",6
"မှာ","ဥပဒေ",6
"မှာ","ခရီးသည်",5
"မှာ","စုစုပေါင်း",5
"မှာ","ညနေ",5
"မှာ","ဌာန",5
"မှာ","တရားရုံး",5
"မှာ","တောင်",5
"မှာ","ဒီဇင်ဘာ",5
"မှာ","နယ်မြေ",5
"မှာ","မြေပြင်",5
"မှာ","မှတ်တမ်း",5
"မှာ","ယာဉ်",5
"မှာ","ယူတီစီ",5
"မှာ","လမ်းကြောင်း",5
"မှာ","လုပ်ငန်း",5
"မှာ","လူပေါင်း",5
"မှာ","လူမျိုး",5
"မှာ","အခမ်းအနား",5
"မှာ","အချက်",5
"မှာ","အစည်းအဝေး",5
"မှာ","အနီး",5
"မှာ","အမျိုးသမီး",5
"မှာ","ကဏ္ဍ",4
"မှာ","ကမ်းခြေ",4
"မှာ","ကုမ္ပဏီ",4
"မှာ","ဂျာနယ်",4
"မှာ","စျေးနှုန်း",4
"မှာ","စွဲချက်",4
"မှာ","တစ်လျှောက်",4
"မှာ","တန်ဖိုး",4
"မှာ","တပ်ဖွဲ့",4
"မှာ","နယူးဇီလန်",4
"မှာ","ပစ္စည်း",4
"မှာ","ဖြစ်စဉ်",4
"မှာ","ဗီဒီယို",4
"မှာ","ဘုရားကျောင်း",4
"မှာ","ဘူတာရုံ",4
"မှာ","မြို့တော်",4
"မှာ","မီဒီယာ",4
"မှာ","မေးခွန်း",4
"မှာ","ရုံ",4
"မှာ","ရုံး",4
"မှာ","လမ်း",4
"မှာ","လမ်းဆုံ",4
"မှာ","လေဆိပ်",4
"မှာ","ဝန်ထမ်း",4
"မှာ","သက်တမ်း",4
"မှာ","သက်သေ",4
"မှာ","သင်္ဘော",4
"မှာ","သေနတ်",4
"မှာ","အကြာ",4
"မှာ","အကြား",4
"မှာ","အကြောင်းရင်း",4
"မှာ","အတောအတွင်း",4
"မှာ","အမေရိက",4
"မှာ","အမေရိကန်",4
"မှာ","အာရှ",4
"မှာ","အိုဘားမား",4
"မှာ","ဥယျာဉ်",4
"မှာ","ကျွန်း",3
"မှာ","ကျောင်းသား",3
"မှာ","ကလပ်",3
"မှာ","ကလေး",3
"မှာ","ကား",3
"မှာ","ခန်း",3
"မှာ","ခုနစ်",3
"မှာ","ငွေ",3
"မှာ","စက်ရုံ",3
"မှာ","စစ်ပွဲ",3
"မှာ","စရိတ်",3
"မှာ","စာရင်းဝင်",3
"မှာ","ဆိုင်",3
"မှာ","တစ်ချိန်",3
"မှာ","တွင်း",3
"မှာ","တိပ်ခွေ",3
"မှာ","တိုင်းပြည်",3
"မှာ","ဒေါ်လာ",3
"မှာ","ပင်လယ်ပြင်",3
"မှာ","ပတ်ဝန်းကျင်",3
"မှာ","ပန်းခြံ",3
"မှာ","ပမာဏ",3
"မှာ","ပြင်သစ်",3
"မှာ","ပုံစံ",3
"မှာ","ဗုံး",3
"မှာ","ဘက်",3
"မှာ","ဘဏ်",3
"မှာ","မိန်းကလေး",3
"မှာ","ယာဉ်မောင်း",3
"မှာ","ယူကေ",3
"မှာ","ရာစုနှစ်",3
"မှာ","ရာသီဥတု",3
"မှာ","ရေ",3
"မှာ","ရဲ",3
"မှာ","လက်နက်",3
"မှာ","ဝန်ကြီးချုပ်",3
"မှာ","သီတင်းပတ်",3
"မှာ","အကျော့",3
"မှာ","အကြိမ်",3
"မှာ","အကြောင်းအရာ",3
"မှာ","အကွာအဝေး",3
"မှာ","အချက်အလက်",3
"မှာ","အခု",3
"မှာ","အနာဂတ်",3
"မှာ","အနီးအနား",3
"မှာ","အနေအထား",3
"မှာ","အပတ်",3
"မှာ","အဖွဲ့ဝင်",3
"မှာ","အမျိုးသား",3
"မှာ","အမြင်",3
"မှာ","အမှတ်",3
"မှာ","အမိန့်",3
"မှာ","အရပ်",3
"မှာ","အာဖဂန်နစ္စတန်",3
"မှာ","အာဖဂန်နစ်စတန်",3
"မှာ","အိမ်ဖြူတော်",3
"မှာ","ဦးရေ",3
"မှာ","ဧရိယာ",3
"မှာ","၎င်းနေရာ",2
"မှာ","ကစားကွင်း",2
"မှာ","ကြေးနန်း",2
"မှာ","ကြော်ငြာ",2
"မှာ","ကွန်ကရစ်",2
"မှာ","ကိုမာ",2
"မှာ","ကီလိုမီတာ",2
"မှာ","ကုလားထိုင်",2
"မှာ","ကောလိပ်",2
"မှာ","ကော်နက်တီကတ်",2
"မှာ","ကော်လံ",2
"မှာ","ခန့်မှန်းချက်",2
"မှာ","ခရိုင်",2
"မှာ","ခရုစ်",2
"မှာ","ခြေထောက်",2
"မှာ","ခွင့်",2
"မှာ","စကော့တလန်",2
"မှာ","စစ်",2
"မှာ","စျေးကွက်",2
"မှာ","စာတမ်း",2
"မှာ","စာမျက်နှာ",2
"မှာ","စိတ်",2
"မှာ","စီ",2
"မှာ","စီးပွားရေး",2
"မှာ","စု",2
"မှာ","ဆန္ဒ",2
"မှာ","ဆဘတ်",2
"မှာ","ဆောင်းပါး",2
"မှာ","ဈေးကွက်",2
"မှာ","ဈေးနှုန်း",2
"မှာ","ဌာနချုပ်",2
"မှာ","တက္ကသိုလ်",2
"မှာ","တစ်ဆိုင်",2
"မှာ","တစ်ဝှမ်း",2
"မှာ","တရား",2
"မှာ","တရားသူကြီး",2
"မှာ","တွေ့ဆုံပွဲ",2
"မှာ","တာဝန်",2
"မှာ","တီဗွီ",2
"မှာ","တော",2
"မှာ","တောင်ပိုင်း",2
"မှာ","တောင်ဘက်",2
"မှာ","ထိုင်ဝမ်",2
"မှာ","ဒဗလျူအမ်အေကျူ",2
"မှာ","ဒိုင်အောက်ဆိုဒ်",2
"မှာ","ဒုက္ခသည်",2
"မှာ","ဓာတ်ငွေ့",2
"မှာ","နည်းလမ်း",2
"မှာ","နံနက်",2
"မှာ","နယူးယောက်",2
"မှာ","နယ်ပယ်",2
"မှာ","နှောင်းပိုင်း",2
"မှာ","နာရီဝက်",2
"မှာ","နေရာတိုင်း",2
"မှာ","ပင်လယ်",2
"မှာ","ပစ်မှတ်",2
"မှာ","ပညာရှင်",2
"မှာ","ပထမပိုင်း",2
"မှာ","ပြခန်း",2
"မှာ","ပြည်ပ",2
"မှာ","ပြပွဲ",2
"မှာ","ပါလီမန်",2
"မှာ","ပိတ်ဆို့",2
"မှာ","ဗျူရို",2
"မှာ","ဗွီဒီယို",2
"မှာ","ဘဂ္ဂဒက်",2
"မှာ","ဘလော့ဂ်",2
"မှာ","ဘလောင်းတ်",2
"မှာ","ဘဝ",2
"မှာ","ဘီဘီစီ",2
"မှာ","ဘီလျံနာ",2
"မှာ","မဂ္ဂဇင်း",2
"မှာ","မျိုး",2
"မှာ","မြောက်ပိုင်း",2
"မှာ","မှတ်",2
"မှာ","မာတာတာ",2
"မှာ","မာရသွန်",2
"မှာ","မိန့်ခွန်း",2
"မှာ","မိုင်းတွင်း",2
"မှာ","မီး",2
"မှာ","မူကြမ်း",2
"မှာ","မူလ",2
"မှာ","မဲဆန္ဒနယ်မြေ",2
"မှာ","မဲရုံ",2
"မှာ","ယခု",2
"မှာ","ယာဉ်တန်း",2
"မှာ","ရင်ပြင်",2
"မှာ","ရန်ပွဲ",2
"မှာ","ရပ်ကွက်",2
"မှာ","ရာဇဝတ်မှု",2
"မှာ","ရုပ်ရှင်",2
"မှာ","လက္ခဏာ",2
"မှာ","လက်",2
"မှာ","လက်ဆာ",2
"မှာ","လက်မောင်း",2
"မှာ","လစာ",2
"မှာ","လိပ်စာ",2
"မှာ","လိုင်း",2
"မှာ","လုံး",2
"မှာ","လုပ်ငန်းစဉ်",2
"မှာ","လူနာ",2
"မှာ","လေယာဉ်",2
"မှာ","ဝန်ကြီး",2
"မှာ","ဝှိုက်",2
"မှာ","ဝီကီနယူးစ်",2
"မှာ","ဝီကီပီးဒီးယား",2
"မှာ","သတင်းပေးပို့ချက်",2
"မှာ","သတ္တုတွင်း",2
"မှာ","သဘောတရား",2
"မှာ","သြစတြေးလျ",2
"မှာ","သိန်း",2
"မှာ","သုတေသန",2
"မှာ","ဟိသဂိုး",2
"မှာ","အကျဥ်းထောင်",2
"မှာ","အကျိုး",2
"မှာ","အကြွင်းအကျန်",2
"မှာ","အကြောင်းကြားစာ",2
"မှာ","အခွင့်အလမ်း",2
"မှာ","အင်တာဗျူး",2
"မှာ","အစပိုင်း",2
"မှာ","အစ္စတန်ဘူ",2
"မှာ","အဆောက်အအုံ",2
"မှာ","အတန်း",2
"မှာ","အထောက်အထား",2
