,count,count,count
ခန့်မှန်းချေ,,,1.0
ခန္တာကိုယ်သွေး,1.0,,
ခန္ဓာကိုယ်,2.0,1.0,
ခန္ဓာကိုယ်တွင်း,,,1.0
ခန်း,4.0,3.0,
ခန်းမ,4.0,,3.0
ခန်းမဆောင်,1.0,,
ခရစ္စမတ်,1.0,,
ခရစ်ကက်,1.0,,
ခရစ်ကတ်,2.0,,
ခရစ်စမတ်,1.0,,
ခရာဖို့ဒ်,,1.0,
ခရိ,1.0,,
ခရိုင်,16.0,2.0,
ခရီး,4.0,,
ခရီးစဉ်,10.0,1.0,
ခရီးစဥ်,3.0,,1.0
ခရီးလမ်းကြောင်း,1.0,,
ခရီးသည်,,5.0,
ခရုစ်,,2.0,
ခလုပ်,2.0,,
ခါတွန်,1.0,,
ခိုခတ္တား,1.0,,
ခုချိန်,,1.0,
ခုနစ်,6.0,3.0,1.0
ခုန်ပျံပွဲ,1.0,,
ခုနှစ်,420.0,31.0,16.0
ခုနှစ်-နှစ်-အရွယ်,1.0,,
ခုံတန်း,1.0,,
ခုံရုံး,3.0,,
ခုံသမာတိအဖွဲ့,,1.0,
ခေတ္တ,1.0,,
ခေတ်,5.0,,
ခေါင်စာရင်း,2.0,,
ခေါင်း,1.0,1.0,
ခေါင်းကြီးပိုင်း,4.0,,
ခေါင်းစဉ်,4.0,,1.0
ခေါင်းစည်း,1.0,,
ခေါင်းဆောင်,1.0,1.0,
ခေါင်းပန်းလှန်,1.0,,
ခေါင်းမိုး,,1.0,
ခေါ်ဆောင်ခံရချိန်,1.0,,
ခဲယမ်း,1.0,,
ခံစားနေရချိန်,1.0,,
ခံတပ်,,,1.0
ခံနိုင်ရည်,,1.0,
ချက်ဗ်,2.0,,
ချဉ်းကပ်ပုံ,1.0,,
ချထားရေး,1.0,,
ချဒ်,,1.0,
ချန်နိုင်း,1.0,,
ချန်ပီယံ,3.0,,
ချန်ပီယံဆု,1.0,,
ချန်ပီယံပြိုင်ပွဲ,1.0,,
ချန်ပီယံရှစ်,5.0,1.0,1.0
ချန်ဘရီနာ,,1.0,
ချယ်လ်ဆီး,1.0,,
ချာလော့,1.0,,
ချိုင့်ဝှမ်း,,,1.0
ချီကာဂို,2.0,1.0,
ချီဂမ်ဘူရာ,,1.0,
ချီတက်ဆန္ဒပြပွဲ,,1.0,
ချီတက်ပွဲ,,,1.0
ချီတတ်ပွဲ,1.0,,
ချီရှီးယား,1.0,,
ချောင်,1.0,,
ချောင်း,1.0,,
ချဲဆီး,1.0,,
ချဲလ်ဆီး,,1.0,
ခြင်,1.0,,
ခြုံလွှာ,1.0,,
ခြေ,1.0,,
ခြေကျင်းဝတ်,1.0,,
ခြေစစ်ပွဲ,2.0,,
ခြေစမ်းပွဲ,1.0,,
ခြေထောက်,5.0,2.0,
ခြေထောက်-ဘက်,1.0,,
ခြေဖဝါး,1.0,,
ခြေရင်း,,,1.0
ခြေလှမ်း,,1.0,
ခြံ,2.0,1.0,
ခြံရှေ့,1.0,,
ခြံဝင်း,2.0,,1.0
ခွင့်,1.0,2.0,1.0
ခွေး,1.0,,
ခွဲရေး,1.0,,
ခွဲဝေပေးရေး,1.0,,
ဂဏန်း,,1.0,
ဂတ်ရာ,1.0,,
ဂဒ်ဖ်,,1.0,
ဂဘ်ဘွန်,2.0,,
ဂယက်,1.0,,
ဂရမ့်,,1.0,
ဂရိမ်,1.0,,
ဂလက်ဂိုး,1.0,,
ဂလမ်း,,1.0,
ဂလဲနောဟေ,1.0,,
ဂါဇာ,3.0,1.0,1.0
ဂါဘွန်,1.0,,
ဂိတ်,1.0,1.0,
ဂိတ်ဝ,,1.0,
ဂိမ်း,,1.0,
ဂိုင်း,1.0,,
ဂိုထောင်,1.0,,
ဂိုဒေါင်,,1.0,
ဂိုရ,,1.0,
ဂိုရီ,1.0,,
ဂိုးစည်း,1.0,,
ဂိုးနယ်နမိတ်,,1.0,
ဂိုးရှေ့,1.0,,
ဂီတ,1.0,,
ဂီယာနာ,1.0,,
ဂုရု,,1.0,
ဂူ,1.0,1.0,
ဂူနဝမ်,1.0,,
ဂူနီရ,1.0,,
ဂူလီယာနီ,1.0,,
ဂူးဂဲလ်,1.0,1.0,
ဂေဇယ်,1.0,,
ဂေဟာ,1.0,1.0,
ဂေါက်,,1.0,
ဂေါ့,,1.0,
ဂေါ်ဒါ,,1.0,
ဂေးလ်ဆန်,1.0,,
ဂျ-အီလာ,1.0,,
ဂျက်ကက်စ်,1.0,,
ဂျက်စ်,,1.0,
ဂျက်ဆင်,1.0,,
ဂျက်ဆန်,1.0,,
ဂျင်မာနက်,1.0,,
ဂျဇီရာ,,1.0,
ဂျနီဖာ,1.0,,
ဂျနဲရိုး,,,1.0
ဂျပန်,5.0,,2.0
ဂျာကာတာ,2.0,,
ဂျာစီ,1.0,,
ဂျာနယ်,10.0,4.0,
ဂျာနယ်လစ်,,1.0,
ဂျာမနီ,5.0,1.0,1.0
ဂျာရက်,1.0,,
ဂျားဗား,1.0,,
ဂျို့စ်,2.0,,
ဂျီ,1.0,,
ဂျီဒီပီ,1.0,,
ဂျီနီဗာ,1.0,,1.0
ဂျီဘူတီ,1.0,,
ဂျီဟတ်,1.0,,
ဂျီအမ်တီ,8.0,1.0,1.0
ဂျုတ်ဘွတ်,1.0,,
ဂျေပီအယ်လ်,,1.0,
ဂျေရုစလင်,2.0,,
ဂျေရုဆလင်,2.0,,
ဂျော့,1.0,,
ဂျော်ဂျီယာ,1.0,,
ဂျော်ဂျီရာ,1.0,,
ဂြိုင်ရိုစကုပ်,1.0,,
ဂြိုဟ်,1.0,,
ဂြိုဟ်တု,1.0,1.0,
ဂွန်ဇာလီစ်,1.0,,
ဃ,1.0,1.0,
ငလျင်,6.0,1.0,
ငါးမျှားချိတ်,1.0,,
ငြင်းချက်,1.0,,
ငြိမ်းချမ်းရေး,3.0,,
ငွေ,2.0,3.0,
ငွေကြေး,5.0,1.0,
ငှက်,3.0,,
စ,,1.0,
စကာ,,7.0,
စကား,2.0,1.0,
စကားပြန်,1.0,,
စကားပွဲ,1.0,,
စကားရပ်,1.0,,
စကားဝိုင်း,1.0,,
စကော့တလန်,6.0,2.0,2.0
စကေး,1.0,,
စက္ကန့်,4.0,1.0,
စက်,3.0,,
စက်ခန်း,1.0,,
စက်တင်ဘာ,10.0,,
စက်တင်ဘာ-လလယ်,1.0,,
စက်ဘီး,,1.0,
စက်မှု,2.0,,
စက်ရုံ,6.0,3.0,4.0
စကွေး,1.0,,
စကွဲ,2.0,,
စကွဲယား,1.0,,
စခန်း,22.0,7.0,5.0
စင်,1.0,,
စင်ကာပူ,1.0,,
စင်တာ,12.0,1.0,7.0
စင်တီမီတာ,1.0,1.0,
စင်ပေါ်,1.0,,
စင်္ကာပူ,2.0,1.0,
စစ်,3.0,2.0,
စစ်စခန်း,,1.0,
စစ်ဆင်ရေး,1.0,,
စစ်ဆေးချက်,1.0,,
စစ်ဆေးရေး,3.0,,
စစ်ဌာနချုပ်,1.0,,
စစ်တပ်,4.0,,
စစ်တမ်း,6.0,1.0,
စစ်တလင်း,1.0,,
စစ်တိုးလိ,,1.0,
စစ်ထိုးပွဲ,1.0,,
စစ်နည်းဗျူဟာ,,1.0,
စစ်ပြီးခေတ်,1.0,,
စစ်ပွဲ,15.0,3.0,1.0
စစ်မြေပြင်,,1.0,1.0
စစ်ရေး,1.0,,
စစ်သား,2.0,1.0,
စစ်သွေးကြွ,1.0,,
စည်းကမ်း,5.0,,
စည်းကမ်းချက်,1.0,,
စည်းချက်,,1.0,
စည်းဖလား,1.0,,
စည်းမျဉ်းစည်းကမ်း,1.0,,
စည်းမျဥ်း,1.0,,
စည်းရုံးလှုံ့ဆော်ရာ,1.0,,
စည်းဝိုင်း,,1.0,
စတက်မန်,1.0,,
စတင်ခဲ့ချိန်,2.0,,
စတင်ချိန်,4.0,1.0,
စတန်နီ,,1.0,
စတန်းဖို့,1.0,,
စတန်းဖို့စ်,,1.0,
စတပ်,2.0,,
စတာလင်ပေါင်,1.0,1.0,
စတိတ်,1.0,,
စတိုး,1.0,,
စတိုးဆိုင်,5.0,,
စတီဖင်ဗဲ,1.0,,
စတီးရောစ်,1.0,,
စတော့ဟုမ်း,1.0,,
စတဲ,,1.0,
စတြီးရန်း,1.0,,
စတွိ,1.0,,
စနစ်,18.0,6.0,1.0
စနေနေ့,1.0,,
စန်တာ,,,1.0
စန်နာ,,1.0,
စပင်ဆာ,1.0,,
စပရင်ဂါ,1.0,,
စပါးခင်း,1.0,,
စပါးသီးနှံ,2.0,,
စပိန်,4.0,1.0,1.0
စမစ်,1.0,1.0,
စမတ်ဖုန်း,1.0,,
စမ်းသပ်ခန်း,1.0,1.0,
စရိတ်,7.0,3.0,
စအို,1.0,,
စာ,58.0,9.0,5.0
စာကိုယ်,1.0,,
စာကြည့်တိုက်,1.0,,
စာချုပ်,5.0,1.0,
စာချုပ်စာတမ်း,1.0,,
စာချုပ်မူကြမ်း,1.0,,
စာစု,1.0,,
စာစောင်,5.0,,
စာတန်း,2.0,,
စာတမ်း,7.0,2.0,
စာတမ်းငယ်,,1.0,
စာတမ်းဖတ်ပွဲ,1.0,,
စာတိုက်,,1.0,
စာမျက်နှာ,12.0,2.0,
စာရင်း,35.0,9.0,1.0
စာရင်းဝင်,,3.0,
စာရိတ္တ,1.0,,
စာရေးနေချိန်,,,1.0
စာရွက်စာတမ်း,5.0,1.0,
စာသင်ကျောင်း,1.0,,
စာသား,1.0,,
စာအိတ်,1.0,,
စာအုပ်,9.0,1.0,
စားချိန်,,,1.0
စားနပ်ရိက္ခာ,2.0,,
စားနေကျအစားအစာ,1.0,,
စားပွဲ,,1.0,1.0
စိတ်,,2.0,
စိတ်ကူး,2.0,,
စိတ်ကြိုက်,1.0,,
စိတ်တွင်း,1.0,,
စိတ်ထား,,1.0,
စိတ်ဖိအား,,1.0,
စိတ်ဝိညာဥ်,,1.0,
စိန့်ကတ်သရင်း,,1.0,
စိန့်ပေါ,1.0,,
စိန်ခေါ်ပွဲ,1.0,,
စိုက်ကွင်း,1.0,,
စိုက်ပျိုးခန်း,1.0,,
စိုက်ပျိုးရေး,3.0,1.0,1.0
စီ,4.0,2.0,1.0
စီဒီ,1.0,,
စီဒီတီ,1.0,1.0,
စီနယ်,1.0,,
စီနာကိ,1.0,,
စီမံကိန်း,10.0,,2.0
စီရင်စု,2.0,1.0,
စီရင်စုနယ်,2.0,,
စီရင်ထုံး,1.0,,
စီဟင်,1.0,,
စီအက်စ်အိုင်အာအို,1.0,,
စီအန်အန်,2.0,,
စီအန်အီးဒီ,,,1.0
စီအမ်အေဂျေ,1.0,,
စီအီးအာအန်,1.0,,
စီအေ,1.0,,
စီးတီး,2.0,,
စီးပွားရေး,3.0,2.0,1.0
စီးရီး,3.0,,
စု,3.0,2.0,
စုစုပေါင်း,1.0,5.0,
စုံစမ်းစစ်ဆေးရေး,1.0,,
စုံတွဲ,1.0,,
စုံထောက်,2.0,,
စောပိုင်း,1.0,,
စံချိန်,3.0,,
စံတော်ချိန်,8.0,,4.0
စံနှုန်း,1.0,,
စံသတ်မှတ်ချက်,2.0,,
စျေးကွက်,6.0,2.0,
စျေးနှုန်း,1.0,4.0,
စွပ်စွဲချက်,1.0,,
စွမ်းရည်,2.0,1.0,1.0
စွမ်းအင်,3.0,,
စွမ်းအား,,1.0,
စွမ်းအားစု,1.0,,
စွယ်စုံကျမ်း,,1.0,
စွဲချက်,3.0,4.0,
ဆက်,1.0,,
ဆက်စ်ခက်ချဝမ်,1.0,,
ဆက်ဆံရေး,,1.0,
ဆက်သွယ်ရာ,1.0,,
ဆက်သွယ်ရေး,1.0,1.0,
ဆင့်ကဲဖြစ်စဉ်,1.0,,
ဆင့်ခေါ်စာ,1.0,,
ဆင့်ခေါ်စာတွဲ,1.0,,
ဆင်ခြေဖုံး,4.0,,
ဆင်ဆာ,,1.0,
ဆစ်,,1.0,
ဆစ်ဒနီ,4.0,1.0,
ဆန့်ကျင်ဘက်,2.0,,
ဆန့်ကျင်ရေး,,1.0,
ဆန္ဒ,4.0,2.0,1.0
ဆန္ဒခံယူပွဲ,7.0,,
ဆန္ဒနယ်,,1.0,
ဆန္ဒမဲ,1.0,,
ဆန်တီရာဂို,1.0,,
ဆန်ဒီကို,1.0,,
ဆန်ဖရန်စစ္စကို,2.0,1.0,
ဆန်းစစ်ရာ,1.0,,
ဆန်းပိုင်း,1.0,,
ဆန်းမားဖီး,1.0,,
ဆပ်ဖိခ်,,,1.0
ဆဘတ်,,2.0,
ဆယ်ကျော်သက်,,1.0,
ဆယ်ဂဏန်း,1.0,,
ဆယ်စုနှစ်,5.0,1.0,1.0
ဆယ်ဗက်ဂါ,1.0,,
ဆရာဝန်,1.0,1.0,
ဆရာဝန်-အများအပြား,1.0,,
ဆလိုဗေးနီးယား,1.0,,
ဆာခွရီမ,1.0,,
ဆာဗာ,1.0,,
ဆာဗီးရား,,,1.0
ဆာဘီးယား,2.0,,
ဆာမာရီးယား,1.0,,
ဆာရာဘာရာ,,,1.0
ဆာလီး,1.0,,
ဆားဗစ်,1.0,,
ဆိနိတ်,1.0,,
ဆိပ်ကမ်း,10.0,1.0,1.0
ဆိုက်,3.0,,
ဆိုက်ဘေးရီးယား,1.0,,
ဆိုခ်ျ,1.0,,
ဆိုချီ,1.0,,
ဆိုင်,8.0,3.0,1.0
ဆိုင်မွန်,,1.0,
ဆိုင်ရပ်စ်,1.0,,
ဆိုင်ရာ,15.0,7.0,1.0
ဆိုင်းဘုတ်,1.0,1.0,
ဆိုင်းယင့်တော်လော်ဂျီ,1.0,,
ဆိုင်းယင့်တော်လော်ဂျီဝင်,1.0,,
ဆိုဒ်,2.0,,
ဆိုမာလီယာ,2.0,,1.0
ဆိုလိုရင်း,,1.0,
ဆိုလိုသည်,,1.0,
ဆိုးကျိုး,1.0,,
ဆိုးကြီး,1.0,,
ဆိုးလ်,1.0,,
ဆီ,2.0,,
ဆီတဲလ်,1.0,,
ဆီနိတ်,1.0,,
ဆီမီးပွဲစဉ်,1.0,,
ဆီမီးဖိုင်နယ်,2.0,,
ဆီး,,1.0,
ဆီးနိတ်,1.0,,
ဆီးနှင်း,,1.0,
ဆီးမီးဖိုင်နယ်,1.0,,
ဆီးရီးယား,7.0,1.0,
ဆု,4.0,1.0,
ဆုံးဖြတ်ခဲ့ချိန်,1.0,,
ဆူဇီဗာ,1.0,,
ဆူတန်,1.0,,
ဆူဒန်,5.0,,
ဆူနာမီ,1.0,,
ဆူပင်ယ,1.0,,
ဆူဗား,1.0,1.0,
ဆူဘာ,,1.0,
ဆူးလ်,,1.0,
ဆောင်ဒီ,,,1.0
ဆောင်ပုဒ်,1.0,,
ဆောင်ရွက်နေချိန်,1.0,,
ဆောင်ရွက်ရာ,,,1.0
ဆောင်းပါး,9.0,2.0,1.0
ဆော့ကာရိုးစ်,1.0,,
ဆော့ဖ်ဝဲ,1.0,,
ဆော့ဖ်ဝဲလ်,2.0,,
ဆော်ဘီ,1.0,,
ဆေးခန်း,5.0,,1.0
ဆေးဆိုင်,1.0,,
ဆေးပမာဏ,1.0,,
ဆေးဖျန်းရာ,1.0,,
ဆေးရုံ,22.0,8.0,17.0
ဆေးရုံကြီး,1.0,1.0,
ဆေးရွက်ကြီး,1.0,,
ဆေးဝါး,3.0,1.0,
ဆဲဗင်းအက်စ်,,1.0,
ဆွင်ဒန်,,,1.0
ဆွန်ချီ,,1.0,
ဆွန်နီ,1.0,,
ဆွန်း,,1.0,
ဆွန်းဆီးစ်,1.0,,
ဆွီဒင်,1.0,,
ဆွေမျိုး,2.0,,
ဆွေးနွေးဝိုင်း,1.0,,
ဆွဲငင်အား,1.0,,
ဇင်ဘာဘွေ,6.0,1.0,
ဇနီး,,1.0,
ဇန်နဝါရီ,6.0,1.0,
ဇန်နီမာ,1.0,,
ဇယား,7.0,,
ဇာစ်မြစ်,,1.0,
ဇာတိ,1.0,,
ဇာတ်ကား,4.0,,
ဇာတ်ညွှန်းရေးဆရာ,,1.0,
ဇာတ်ရုံ,3.0,1.0,
ဇာတ်လမ်း,3.0,,
ဇာမတ်,1.0,,
ဇိုကီရီ,1.0,,
ဇုန်,5.0,,
ဇူလိုင်,5.0,,
ဇူလိုင်လ-လယ်,1.0,,
ဇူလီယာ,,1.0,
ဇွန်,1.0,,
ဈာပန,1.0,,
ဈေး,3.0,,1.0
ဈေးကွက်,12.0,2.0,1.0
ဈေးနှုန်း,6.0,2.0,
ဉရောပ,1.0,,
ည,23.0,6.0,4.0
ညနက်ပိုင်း,1.0,,
ညနေ,7.0,5.0,1.0
ညနေခင်း,3.0,1.0,
ညနေပိုင်း,3.0,1.0,1.0
ညဘက်,2.0,,1.0
ညလုံးပေါက်,1.0,,
ညဦး,,1.0,
ညာဖက်,,1.0,
ညာဘက်,1.0,,
ညီလာခံ,20.0,7.0,8.0
ညီအစ်ကို,2.0,,
ညွန့်ပေါင်းအဖွဲ့,1.0,,
ညှိနှိုင်းစာချုပ်,1.0,,
ဋ္ဌာန,1.0,1.0,
ဌာန,17.0,5.0,5.0
ဌာနချုပ်,1.0,2.0,1.0
ဌာနခွဲ,3.0,,
တကယ်တမ်း,1.0,1.0,
တက္ကစီ,3.0,,
တက္ကသိုလ်,12.0,2.0,11.0
တက်စကို,1.0,,
တက်ဇက်စ်,1.0,,
တက်ဇာစ်,1.0,,
တက်မ,,1.0,
တက်ဟီဗလီ,1.0,,
တကြိမ်,1.0,,
တခုခု,1.0,,
တချို့,1.0,,
တင်ပြပွဲ,,1.0,
တင်းမာဂါရ,1.0,,
တင်းမာနေချိန်,1.0,1.0,
တစ်-နေ့,,1.0,
တစ်-ဘက်သတ်,1.0,,
တစ်ကိုယ်တော်,,,1.0
တစ်ကိုယ်ရည်,,1.0,
တစ်ကွေ့,1.0,,
တစ်ခုခု,,1.0,
တစ်ချိန်,,3.0,
တစ်ချိန်ချိန်,4.0,,1.0
တစ်စိတ်တစ်ပိုင်း,2.0,1.0,1.0
တစ်ဆိုင်,,2.0,
တစ်ဆု,1.0,,
တစ်ည,1.0,,
တစ်နေရာရာ,2.0,,
တစ်နေ့နေ့,,1.0,
တစ်ဖက်,1.0,1.0,
တစ်ဖက်စီ,1.0,,
တစ်ဖက်ယာဉ်ကြော,1.0,,
တစ်ဖက်လူ,1.0,,
တစ်မျိုးမျိုး,1.0,,
တစ်လျှောက်,30.0,4.0,1.0
တစ်လွှား,2.0,,
တစ်ဝက်,22.0,6.0,4.0
